hg19_id	chr_tss_hg19	start_tss_hg19	biotype_hg19	cage_id_hg19	name_peak_hg19	minimal_biotype_hg19	stem_exp_hg19	mm9_id	chr_tss_mm9	start_tss_mm9	biotype_mm9	cage_id_mm9	name_peak_mm9	minimal_biotype_mm9	stem_exp_mm9	tss_tile_num	orig_species	biotype_switch_minimal	HUES64_hg19	mESC_hg19	HUES64_mm9	mESC_mm9	HUES64_padj_hg19	mESC_padj_hg19	HUES64_padj_mm9	mESC_padj_mm9	logFC_native	fdr_native	native_status	native_status_det	logFC_cis_HUES64	fdr_cis_HUES64	logFC_cis_mESC	fdr_cis_mESC	cis_HUES64_status	cis_mESC_status	cis_HUES64_status_det	cis_mESC_status_det	cis_status_one	cis_status_det_one	logFC_cis_one	logFC_trans_human	fdr_trans_human	logFC_trans_mouse	fdr_trans_mouse	trans_human_status	trans_mouse_status	trans_human_status_det	trans_mouse_status_det	trans_status_one	trans_status_det_one	logFC_trans_one	logFC_int	fdr_int	cis_trans_int_status	cis_trans_int_status_det
h.22	chr1	198906557.0	intergenic	chr1:198906528..198906573,-	ENSG00000229989.3	lncRNA	0.0677778	m.17	chr1	139795165.0	intergenic	chr1:139795137..139795194,+	ENSMUSG00000098243.3	other	0.0825	tile1	human	biotype switch	3.38168644371505	3.14149388227934	3.8259375971389598	4.7109868131005	7.595811128211131e-12	2.38925510711922e-07	3.97026037964088e-16	1.5085566207958898e-20	-0.16633289331716197	0.40195549353928794	no native effect	no native effect	-0.46823832131755	0.0165025857078201	-0.23171893653614498	0.280774866976483	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	-0.46823832131755	0.0889187217158895	0.621125278021229	0.305704257395523	0.0947694834047049	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.305704257395523	0.17173254409697	0.931772468726365	no cis/trans int. effect	no cis/trans int. effect
h.26	chr1	209602164.0	intergenic	chr1:209602156..209602174,+	ENSG00000230937.5	other	17.4833	m.21	chr1	195336403.0	intergenic	chr1:195336396..195336410,-	ENSMUSG00000097850.2	other	2.96	tile1	human	other	7.912909041669709	6.30076266929965	6.223985451272731	6.533963865226071	5.978979577211208e-89	3.20114039960411e-41	1.6135755458630195e-51	7.10479369696732e-45	-0.8025191712800409	0.0034431611286887603	no native effect	no native effect	-0.9904059257825891	0.000267891585165092	-0.745722550704769	0.0108314438856749	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	-0.9904059257825891	-0.0337171263661476	0.8759440951645319	0.16562011681899802	0.5688877111322951	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.16562011681899802	0.153839136076129	0.9702453729743141	no cis/trans int. effect	no cis/trans int. effect
h.28	chr1	209602704.0	intergenic	chr1:209602697..209602719,+	ENSG00000230937.5	other	0.027777800000000002	m.22	chr1	195336321.0	intergenic	chr1:195336318..195336327,-	ENSMUSG00000097850.2	other	2.58625	tile1	human	other	1.15110589096533	1.35340511988692	1.9239980292722498	1.3117804359937602	0.548324059412012	0.539592450452248	0.0092258710410414	0.5852704986127261	0.6863302110350991	0.00321174090259515	no native effect	no native effect	0.8601597002530409	0.00063638025257631	0.4259096297989389	0.0716291444208123	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	0.8601597002530409	0.276028185002886	0.31751694854643503	-0.21599684301208102	0.22364585621080105	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.276028185002886	-0.5296058467764051	0.437868658134812	no cis/trans int. effect	no cis/trans int. effect
h.29	chr1	210407107.0	antisense	chr1:210407103..210407111,-	ENSG00000203706.4	lncRNA	0.0	m.23	chr1	194681121.0	divergent	chr1:194681110..194681131,+	ENSMUSG00000089812.2	lncRNA	0.575	tile1	human	lncRNA	1.2313931416834298	1.6275008160378999	5.61571786701725	1.2499428060658702	0.45138158704421505	0.234080854758918	1.39244944771923e-40	0.643766132569204	1.52063874279096	0.000209572853256499	no native effect	no native effect	2.8928503083468504	1.11638304971165e-10	0.803643996090366	0.0620078700534396	significant cis effect	no cis effect	"cis effect
(higher in mouse)"	no cis effect	significant cis effect	"cis effect
(higher in mouse)"	2.8928503083468504	0.5844055814850091	0.208611980037487	-1.3875327269013	1.8671816733838503e-08	no trans effect	significant trans effect	no trans effect	"trans effect
(higher in human)"	significant trans effect	"trans effect
(higher in human)"	-1.3875327269013	-1.99065412695563	0.000716016412238004	significant cis/trans int. effect	"cis/trans int. effect
(higher in human)"
h.31	chr1	210407227.0	antisense	chr1:210407207..210407250,-	ENSG00000203706.4	lncRNA	0.946667	m.23	chr1	194681121.0	divergent	chr1:194681110..194681131,+	ENSMUSG00000089812.2	lncRNA	0.575	tile1	human	lncRNA	1.9875129281298198	1.02229749231536	5.61571786701725	1.2499428060658702	0.00531815591378607	0.7588307811740591	1.39244944771923e-40	0.643766132569204	1.1936087452717001	0.00314056562586345	no native effect	no native effect	2.28900472488664	4.80465963268217e-07	1.1811263148429099	0.0137570951408142	significant cis effect	no cis effect	"cis effect
(higher in mouse)"	no cis effect	significant cis effect	"cis effect
(higher in mouse)"	2.28900472488664	-0.28363100073809805	0.595261052281153	-1.33777804544618	5.892258748953629e-07	no trans effect	significant trans effect	no trans effect	"trans effect
(higher in human)"	significant trans effect	"trans effect
(higher in human)"	-1.33777804544618	-1.2283669548794398	0.144818062665294	no cis/trans int. effect	no cis/trans int. effect
h.33	chr10	18947991.0	divergent	chr10:18947984..18947997,-	ENSG00000152487.6	other	0.0177778	m.25	chr2	14976694.0	protein_coding	chr2:14976686..14976706,-	ENSMUSG00000026707.15	mRNA	0.55375	tile1	human	biotype switch	0.640056140306064	0.911262359882851	10.6161595340523	16.2797019792625	0.863663841948592	0.7831049321258641	2.2773718013424092e-170	0.0	3.6334327910046897	6.2650115756211605e-27	significant native effect	"native effect
(higher in mouse)"	3.0467859685450502	2.26519464640778e-23	3.0518342900493503	9.890452251590609e-24	significant cis effect	significant cis effect	"cis effect
(higher in mouse)"	"cis effect
(higher in mouse)"	significant cis effect	"cis effect
(higher in mouse)"	3.0518342900493503	0.500005156933471	0.033522578222061	0.5776295145998039	0.00011580939468983301	no trans effect	significant trans effect	no trans effect	"trans effect
(higher in mouse)"	significant trans effect	"trans effect
(higher in mouse)"	0.5776295145998039	0.14764010964410199	0.9695217443247909	no cis/trans int. effect	no cis/trans int. effect
h.34	chr10	18948008.0	divergent	chr10:18948004..18948012,-	ENSG00000152487.6	other	0.0	m.25	chr2	14976694.0	protein_coding	chr2:14976686..14976706,-	ENSMUSG00000026707.15	mRNA	0.55375	tile1	human	biotype switch	0.8328721219436	1.00542977962259	10.6161595340523	16.2797019792625	0.790883482712798	0.7622536712742859	2.2773718013424092e-170	0.0	3.02009289421494	5.8297585669189e-26	significant native effect	"native effect
(higher in mouse)"	2.4249623825398903	4.684713428226789e-21	2.6228860118478	4.86838444418092e-18	significant cis effect	significant cis effect	"cis effect
(higher in mouse)"	"cis effect
(higher in mouse)"	significant cis effect	"cis effect
(higher in mouse)"	2.6228860118478	0.3832661909089439	0.0691988229289946	0.576519852233015	0.00022042942559022	no trans effect	significant trans effect	no trans effect	"trans effect
(higher in mouse)"	significant trans effect	"trans effect
(higher in mouse)"	0.576519852233015	0.19542689848956898	0.931772468726365	no cis/trans int. effect	no cis/trans int. effect
h.35	chr10	18948165.0	divergent	chr10:18948156..18948202,-	ENSG00000152487.6	other	1.0333299999999999	m.25	chr2	14976694.0	protein_coding	chr2:14976686..14976706,-	ENSMUSG00000026707.15	mRNA	0.55375	tile1	human	biotype switch	10.030350050192501	11.585164364425099	10.6161595340523	16.2797019792625	1.7942549272670196e-150	6.519987793445597e-163	2.2773718013424092e-170	0.0	0.42973447193966097	0.113975613268108	no native effect	no native effect	-0.135590170869689	0.6554006610695461	0.0158824504779263	0.962837204572537	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	-0.135590170869689	0.366124960298696	0.0975804842271367	0.5573308703185209	0.0018991501801085698	no trans effect	significant trans effect	no trans effect	"trans effect
(higher in mouse)"	significant trans effect	"trans effect
(higher in mouse)"	0.5573308703185209	0.147816769400229	0.975331237446381	no cis/trans int. effect	no cis/trans int. effect
h.36	chr10	120001033.0	intergenic	chr10:120001011..120001039,+	ENSG00000238276.1	lncRNA	0.057777800000000004	m.26	chr19	60220591.0	intergenic	chr19:60220585..60220600,+	ENSMUSG00000053117.10	lncRNA	0.0	tile1	human	lncRNA	1.47163269908683	1.3941157091215801	0.7822615557274429	1.0542406306187901	0.182988879702522	0.49280883204891396	0.806486884079082	0.750368778344634	0.47672084102860895	0.0919987528194616	no native effect	no native effect	0.0842861501058804	0.801444271064184	0.17680425792431304	0.571830269026809	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	0.17680425792431304	0.252849132753456	0.4282097181961121	0.377485456109389	0.143649880772206	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.377485456109389	-0.039572075085398	0.9911147462268158	no cis/trans int. effect	no cis/trans int. effect
h.38	chr10	126605462.0	intergenic	chr10:126605451..126605474,+	ENSG00000249456.1	lncRNA	4.35444	m.27	chr7	140122919.0	protein_coding	chr7:140122911..140122929,+	ENSMUSG00000030967.15	mRNA	6.76625	tile1	human	biotype switch	1.26412739852616	1.65137728870085	9.191426313236189	2.96816755923002	0.410469604635322	0.21250223403179	3.640892140870899e-124	2.52612226760165e-06	2.86218866954662	1.96561342174676e-08	significant native effect	"native effect
(higher in mouse)"	3.7646890538239504	3.05803782644875e-13	2.34633840544448	1.60269756263788e-06	significant cis effect	significant cis effect	"cis effect
(higher in mouse)"	"cis effect
(higher in mouse)"	significant cis effect	"cis effect
(higher in mouse)"	3.7646890538239504	0.392060957148442	0.48684003393592895	-0.969088352694633	7.69628624648642e-07	no trans effect	significant trans effect	no trans effect	"trans effect
(higher in human)"	significant trans effect	"trans effect
(higher in human)"	-0.969088352694633	-1.2634270521406599	0.0954554973976566	no cis/trans int. effect	no cis/trans int. effect
h.40	chr10	131909084.0	intergenic	chr10:131909071..131909102,-	ENSG00000237489.2	other	1.19556	m.28	chr7	144602438.0	protein_coding	chr7:144602400..144602444,-	ENSMUSG00000040139.14	mRNA	9.665	tile1	human	biotype switch	3.21905210678389	4.464890276783589	6.25154813895875	7.083808379842759	1.86709718624988e-10	5.24183621133029e-18	4.7767378370525696e-52	4.1027040176890794e-54	1.41272765800031	9.07516870049896e-06	no native effect	no native effect	1.10629380205426	0.000296121127265394	0.8268299820090859	0.00183117863034394	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	1.10629380205426	0.45606300601657	0.0850889134683408	0.28086762717387104	0.155247475286883	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.45606300601657	-0.119250436751594	0.9911147462268158	no cis/trans int. effect	no cis/trans int. effect
h.46	chr11	13984142.0	intergenic	chr11:13984141..13984144,+	ENSG00000152268.8	mRNA	0.0755556	m.32	chr7	120909566.0	protein_coding	chr7:120909558..120909577,+	ENSMUSG00000038156.16	mRNA	0.01625	tile1	human	mRNA	1.50705894253436	1.2261762918241499	1.83473925894382	1.3087047822706899	0.15407447042935096	0.661477470192404	0.0189170319287113	0.588160151850338	1.1245950861054699	2.58613984128812e-06	no native effect	no native effect	1.30571939461765	2.11027540116439e-08	1.1804343283839198	4.09024024197525e-06	significant cis effect	significant cis effect	"cis effect
(higher in mouse)"	"cis effect
(higher in mouse)"	significant cis effect	"cis effect
(higher in mouse)"	1.30571939461765	-0.0199140055290721	0.948321979199754	-0.19806778477716	0.27967198825116696	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	-0.19806778477716	-0.13955855398119102	0.9702453729743141	no cis/trans int. effect	no cis/trans int. effect
h.47	chr11	13984183.0	intergenic	chr11:13984178..13984191,+	ENSG00000152268.8	mRNA	0.0922222	m.33	chr7	120909677.0	protein_coding	chr7:120909633..120909713,+	ENSMUSG00000038156.16	mRNA	0.235	tile1	human	mRNA	1.43692417142692	1.09240288598327	2.19714651924479	1.27408235560542	0.214288950711975	0.7341019612723559	0.000687140832791402	0.6226165614224449	0.27734535920675607	0.306372072019079	no native effect	no native effect	0.670135087103907	0.005836319776779579	0.11948731443368199	0.7046706394125859	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	0.670135087103907	0.00018825980295753602	1.0	-0.359074021812096	0.12366181355321199	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	-0.359074021812096	-0.45189704430836797	0.6332598815751321	no cis/trans int. effect	no cis/trans int. effect
h.48	chr11	13984269.0	intergenic	chr11:13984223..13984310,+	ENSG00000152268.8	mRNA	5.97889	m.33	chr7	120909677.0	protein_coding	chr7:120909633..120909713,+	ENSMUSG00000038156.16	mRNA	0.235	tile1	human	mRNA	2.57329838933794	1.80988203164139	2.19714651924479	1.27408235560542	7.0469974449244595e-06	0.0996703698633382	0.000687140832791402	0.6226165614224449	-1.3650091767640502	1.51188361044779e-06	no native effect	no native effect	-0.9634745071436159	0.000148485865715924	-1.18833724538752	3.758379188459821e-05	no cis effect	significant cis effect	no cis effect	"cis effect
(higher in human)"	significant cis effect	"cis effect
(higher in human)"	-1.18833724538752	-0.18915402011345897	0.275805722182924	-0.35939037954463	0.18554873706608702	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	-0.35939037954463	-0.0759126208505772	0.9911147462268158	no cis/trans int. effect	no cis/trans int. effect
