cage_id_hg19	cage_id_mm9	tss_name_hg19	tss_name_mm9	biotype_hg19	biotype_mm9	chr_hg19	tss_coord_hg19	strand_hg19	chr_mm9	tss_coord_mm9	strand_mm9	max_cage_hg19	max_cage_mm9	stem_cage_hg19	stem_cage_mm9
chr1:210407103..210407111,-	chr1:194681110..194681131,+	ENSG00000203706.4	ENSMUSG00000089812.2	lncRNA	lncRNA	chr1	210407107	-	chr1	194681121	+	249.0	11261.0	0.0	0.575
chr1:210407136..210407144,-	chr1:194681110..194681131,+	ENSG00000203706.4	ENSMUSG00000089812.2	lncRNA	lncRNA	chr1	210407138	-	chr1	194681121	+	1493.0	11261.0	0.0	0.575
chr1:210407207..210407250,-	chr1:194681110..194681131,+	ENSG00000203706.4	ENSMUSG00000089812.2	lncRNA	lncRNA	chr1	210407227	-	chr1	194681121	+	2406.0	11261.0	0.946667	0.575
chr1:229644215..229644240,+	chr8:126473310..126473337,+	ENSG00000223635.1	ENSMUSG00000110615.1	lncRNA	other	chr1	229644220	+	chr8	126473315	+	1350.0	1392.0	0.876667	1.02375
chr10:18947984..18947997,-	chr2:14976686..14976706,-	ENSG00000152487.6	ENSMUSG00000026707.15	other	mRNA	chr10	18947991	-	chr2	14976694	-	4547.0	1923.0	0.0177778	0.55375
chr10:18948004..18948012,-	chr2:14976686..14976706,-	ENSG00000152487.6	ENSMUSG00000026707.15	other	mRNA	chr10	18948008	-	chr2	14976694	-	4547.0	1923.0	0.0	0.55375
chr10:18948156..18948202,-	chr2:14976686..14976706,-	ENSG00000152487.6	ENSMUSG00000026707.15	other	mRNA	chr10	18948165	-	chr2	14976694	-	3051.0	1923.0	1.0333299999999999	0.55375
chr10:120001011..120001039,+	chr19:60220585..60220600,+	ENSG00000238276.1	ENSMUSG00000053117.10	lncRNA	lncRNA	chr10	120001033	+	chr19	60220591	+	233.0	3072.0	0.057777800000000004	0.0
chr10:126605420..126605444,+	chr7:140122911..140122929,+	ENSG00000249456.1	ENSMUSG00000030967.15	lncRNA	mRNA	chr10	126605429	+	chr7	140122919	+	10517.0	21176.0	0.763333	6.76625
chr10:126605451..126605474,+	chr7:140122911..140122929,+	ENSG00000249456.1	ENSMUSG00000030967.15	lncRNA	mRNA	chr10	126605462	+	chr7	140122919	+	12806.0	21176.0	4.35444	6.76625
chr10:126605481..126605502,+	chr7:140122911..140122929,+	ENSG00000249456.1	ENSMUSG00000030967.15	lncRNA	mRNA	chr10	126605488	+	chr7	140122919	+	12806.0	21176.0	6.998889999999999	6.76625
chr10:131909071..131909102,-	chr7:144602400..144602444,-	ENSG00000237489.2	ENSMUSG00000040139.14	other	mRNA	chr10	131909084	-	chr7	144602438	-	1400.0	6250.0	1.19556	9.665
chr11:2161704..2161708,+	chr7:149846528..149846553,+	ENSG00000099869.6	ENSMUSG00000086266.1	lncRNA	other	chr11	2161706	+	chr7	149846539	+	93.0	565.0	0.0	0.03
chr11:2161753..2161764,+	chr7:149846528..149846553,+	ENSG00000099869.6	ENSMUSG00000086266.1	lncRNA	other	chr11	2161758	+	chr7	149846539	+	438.0	565.0	0.114444	0.03
chr11:2399215..2399267,-	chr7:150239284..150239364,-	ENSG00000238184.1	ENSMUSG00000059277.12	other	lncRNA	chr11	2399226	-	chr7	150239333	-	1100.0	1653.0	1.94222	2.7
chr11:2721215..2721231,-	chr7:150482434..150482471,-	ENSG00000269821.1	ENSMUSG00000101609.1	lncRNA	other	chr11	2721222	-	chr7	150482444	-	20080.0	27846.0	9.126669999999999	13.8175
chr11:2721234..2721235,-	chr7:150482434..150482471,-	ENSG00000269821.1	ENSMUSG00000101609.1	lncRNA	other	chr11	2721234	-	chr7	150482444	-	20080.0	27846.0	0.105556	13.8175
chr11:13984141..13984144,+	chr7:120909558..120909577,+	ENSG00000152268.8	ENSMUSG00000038156.16	mRNA	mRNA	chr11	13984142	+	chr7	120909566	+	966.0	1060.0	0.0755556	0.01625
chr11:13984178..13984191,+	chr7:120909633..120909713,+	ENSG00000152268.8	ENSMUSG00000038156.16	mRNA	mRNA	chr11	13984183	+	chr7	120909677	+	966.0	4099.0	0.0922222	0.235
chr11:13984223..13984310,+	chr7:120909633..120909713,+	ENSG00000152268.8	ENSMUSG00000038156.16	mRNA	mRNA	chr11	13984269	+	chr7	120909677	+	7649.0	4099.0	5.97889	0.235
chr11:13984314..13984321,+	chr7:120909633..120909713,+	ENSG00000152268.8	ENSMUSG00000038156.16	mRNA	mRNA	chr11	13984317	+	chr7	120909677	+	7649.0	4099.0	0.0755556	0.235
chr11:13984363..13984393,+	chr7:120909633..120909713,+	ENSG00000152268.8	ENSMUSG00000038156.16	mRNA	mRNA	chr11	13984373	+	chr7	120909677	+	517.0	4099.0	0.114444	0.235
chr11:32457136..32457145,+	chr2:104966683..104966700,-	ENSG00000183242.7	ENSMUSG00000074987.9	lncRNA	lncRNA	chr11	32457138	+	chr2	104966693	-	392.0	592.0	0.0	0.08125
chr11:32457160..32457180,+	chr2:104966683..104966700,-	ENSG00000183242.7	ENSMUSG00000074987.9	lncRNA	lncRNA	chr11	32457167	+	chr2	104966693	-	392.0	592.0	0.0	0.08125
chr11:57405820..57405858,+	chr2:84583906..84583921,-	ENSG00000254602.1	ENSMUSG00000097187.1	lncRNA	mRNA	chr11	57405848	+	chr2	84583912	-	7107.0	7627.0	18.3467	4.23375
chr11:65266361..65266383,-	chr19:5802809..5802814,+	ENSG00000270117.1	ENSMUSG00000102349.1	lncRNA	lncRNA	chr11	65266377	-	chr19	5802811	+	1148.0	1496.0	0.252222	1.4025
chr11:65266459..65266465,-	chr19:5802809..5802814,+	ENSG00000270117.1	ENSMUSG00000102349.1	lncRNA	lncRNA	chr11	65266461	-	chr19	5802811	+	501.0	1496.0	0.043333300000000005	1.4025
chr11:65266731..65266766,-	chr19:5802349..5802404,+	ENSG00000270117.1	ENSMUSG00000102349.1	lncRNA	lncRNA	chr11	65266742	-	chr19	5802388	+	12369.0	8160.0	1.63111	1.2075
chr11:65266774..65266800,-	chr19:5802349..5802404,+	ENSG00000270117.1	ENSMUSG00000102349.1	lncRNA	lncRNA	chr11	65266783	-	chr19	5802388	+	12369.0	8160.0	1.57444	1.2075
chr11:65266809..65266818,-	chr19:5802349..5802404,+	ENSG00000270117.1	ENSMUSG00000102349.1	lncRNA	lncRNA	chr11	65266813	-	chr19	5802388	+	12369.0	8160.0	0.26111100000000004	1.2075
chr11:65266823..65266862,-	chr19:5802349..5802404,+	ENSG00000270117.1	ENSMUSG00000102349.1	lncRNA	lncRNA	chr11	65266852	-	chr19	5802388	+	10212.0	8160.0	1.6711099999999999	1.2075
chr11:82783097..82783155,+	chr7:99889927..99889954,-	ENSG00000246067.3	ENSMUSG00000074024.5	lncRNA	lncRNA	chr11	82783147	+	chr7	99889943	-	12004.0	14457.0	14.0844	8.17125
chr11:82904668..82904715,-	chr7:99785679..99785731,+	ENSG00000247137.4	ENSMUSG00000103887.1	lncRNA	lncRNA	chr11	82904704	-	chr7	99785716	+	8409.0	5737.0	5.318890000000001	10.8238
chr11:125462344..125462395,-	chr9:36575597..36575616,+	ENSG00000254671.1	ENSMUSG00000096993.3	lncRNA	lncRNA	chr11	125462380	-	chr9	36575605	+	1976.0	873.0	0.743333	0.2475
chr11:125462488..125462499,-	chr9:36575466..36575477,+	ENSG00000254671.1	ENSMUSG00000096993.3	lncRNA	lncRNA	chr11	125462493	-	chr9	36575471	+	616.0	142.0	0.437778	0.06875
chr11:130184915..130184943,+	chr9:30837866..30837898,-	ENSG00000175773.8	ENSMUSG00000111673.1	lncRNA	other	chr11	130184922	+	chr9	30837890	-	369.0	386.0	0.235556	0.9475
chr11:130184973..130184981,+	chr9:30837866..30837898,-	ENSG00000175773.8	ENSMUSG00000111673.1	lncRNA	other	chr11	130184978	+	chr9	30837890	-	369.0	386.0	0.123333	0.9475
chr12:24715307..24715319,-	chr6:144730427..144730508,-	ENSG00000255864.1	ENSMUSG00000041540.16	lncRNA	mRNA	chr12	24715313	-	chr6	144730460	-	1146.0	1686.0	0.0466667	0.03125
chr12:24715342..24715354,-	chr6:144730427..144730508,-	ENSG00000255864.1	ENSMUSG00000041540.16	lncRNA	mRNA	chr12	24715347	-	chr6	144730460	-	1554.0	1686.0	0.0177778	0.03125
chr12:54519842..54519849,+	chr15:102932646..102932659,+	ENSG00000250742.1	ENSMUSG00000099758.1	lncRNA	lncRNA	chr12	54519846	+	chr15	102932656	+	2604.0	295.0	0.132222	0.01625
chr12:54519919..54519965,+	chr15:102932646..102932659,+	ENSG00000250742.1	ENSMUSG00000099758.1	lncRNA	lncRNA	chr12	54519940	+	chr15	102932656	+	1193.0	295.0	0.145556	0.01625
chr12:67463617..67463639,-	chr10:118890594..118890664,+	ENSG00000256248.1	ENSMUSG00000034813.17	lncRNA	mRNA	chr12	67463622	-	chr10	118890629	+	652.0	416.0	0.748889	0.88625
chr12:67463640..67463668,-	chr10:118890594..118890664,+	ENSG00000256248.1	ENSMUSG00000034813.17	lncRNA	mRNA	chr12	67463660	-	chr10	118890629	+	652.0	416.0	1.2922200000000001	0.88625
chr12:76424486..76424575,+	chr10:110944372..110944394,-	ENSG00000257453.1	ENSMUSG00000100113.1	other	other	chr12	76424567	+	chr10	110944380	-	2269.0	1351.0	1.53111	0.41
chr12:76424595..76424611,+	chr10:110944372..110944394,-	ENSG00000257453.1	ENSMUSG00000100113.1	other	other	chr12	76424603	+	chr10	110944380	-	2269.0	1351.0	0.49222200000000005	0.41
chr12:76424631..76424648,+	chr10:110944372..110944394,-	ENSG00000257453.1	ENSMUSG00000100113.1	other	other	chr12	76424636	+	chr10	110944380	-	1514.0	1351.0	0.0722222	0.41
chr12:77718566..77718568,+	chr10:109892977..109893064,-	ENSG00000231121.2	ENSMUSG00000020181.16	lncRNA	mRNA	chr12	77718567	+	chr10	109893031	-	1908.0	3560.0	0.13	0.01625
chr12:77718612..77718703,+	chr10:109892977..109893064,-	ENSG00000231121.2	ENSMUSG00000020181.16	lncRNA	mRNA	chr12	77718670	+	chr10	109893031	-	2740.0	3560.0	0.911111	0.01625
chr12:89918639..89918654,+	chr10:98570663..98570719,-	ENSG00000270344.1	ENSMUSG00000112346.1	lncRNA	other	chr12	89918645	+	chr10	98570713	-	3918.0	1298.0	0.193333	0.1975
chr12:89918666..89918678,+	chr10:98570663..98570719,-	ENSG00000270344.1	ENSMUSG00000112346.1	lncRNA	other	chr12	89918672	+	chr10	98570713	-	3918.0	1298.0	0.028888900000000002	0.1975
chr12:93964602..93964622,-	chr10:94879617..94879627,+	ENSG00000246985.3	ENSMUSG00000097766.1	lncRNA	lncRNA	chr12	93964604	-	chr10	94879618	+	1024.0	564.0	0.138889	0.3575
chr12:107349216..107349228,-	chr10:84565232..84565294,-	ENSG00000260329.1	ENSMUSG00000050035.7	lncRNA	mRNA	chr12	107349222	-	chr10	84565239	-	865.0	5810.0	0.0	2.35125
chr12:113909805..113909830,+	chr5:120881766..120881780,-	ENSG00000257935.2	ENSMUSG00000098649.2	lncRNA	other	chr12	113909810	+	chr5	120881770	-	5896.0	341.0	4.907780000000001	0.0
chr12:113909837..113909849,+	chr5:120881766..120881780,-	ENSG00000257935.2	ENSMUSG00000098649.2	lncRNA	other	chr12	113909843	+	chr5	120881770	-	5896.0	341.0	0.5544439999999999	0.0
chr12:113909855..113909864,+	chr5:120881766..120881780,-	ENSG00000257935.2	ENSMUSG00000098649.2	lncRNA	other	chr12	113909859	+	chr5	120881770	-	5896.0	341.0	0.2	0.0
chr12:120933666..120933755,-	chr5:115751120..115751183,+	ENSG00000248008.2	ENSMUSG00000086368.2	lncRNA	lncRNA	chr12	120933711	-	chr5	115751126	+	3588.0	729.0	4.79889	0.405
chr12:122018401..122018435,+	chr5:123439357..123439375,+	ENSG00000256742.1	ENSMUSG00000056735.5	lncRNA	lncRNA	chr12	122018423	+	chr5	123439362	+	614.0	405.0	0.52	0.0625
chr12:122018746..122018755,+	chr5:123439584..123439621,+	ENSG00000256742.1	ENSMUSG00000056735.5	lncRNA	lncRNA	chr12	122018754	+	chr5	123439604	+	56.0	135.0	0.25111100000000003	1.43
chr12:130646884..130646902,-	chr5:129106517..129106548,-	ENSG00000250208.2	ENSMUSG00000072591.10	other	lncRNA	chr12	130646891	-	chr5	129106537	-	611.0	1728.0	0.0144444	0.56125
chr12:130646903..130646935,-	chr5:129106517..129106548,-	ENSG00000250208.2	ENSMUSG00000072591.10	other	lncRNA	chr12	130646909	-	chr5	129106537	-	611.0	1728.0	0.10222200000000001	0.56125
chr13:45915717..45915752,+	chr14:76244759..76244805,-	ENSG00000170919.11	ENSMUSG00000085829.1	lncRNA	lncRNA	chr13	45915726	+	chr14	76244784	-	5379.0	2049.0	3.32778	0.78875
chr13:76210057..76210116,-	chr14:102128907..102128952,-	ENSG00000261105.1	ENSMUSG00000053821.3	lncRNA	mRNA	chr13	76210078	-	chr14	102128944	-	525.0	225.0	0.0811111	0.3375
chr13:76210135..76210148,-	chr14:102128907..102128952,-	ENSG00000261105.1	ENSMUSG00000053821.3	lncRNA	mRNA	chr13	76210140	-	chr14	102128944	-	359.0	225.0	0.0	0.3375
chr13:113623384..113623391,-	chr8:12915733..12915778,-	ENSG00000235280.2	ENSMUSG00000086770.1	lncRNA	lncRNA	chr13	113623387	-	chr8	12915760	-	433.0	654.0	0.0455556	3.83125
chr13:113623404..113623476,-	chr8:12915733..12915778,-	ENSG00000235280.2	ENSMUSG00000086770.1	lncRNA	lncRNA	chr13	113623450	-	chr8	12915760	-	709.0	654.0	0.765556	3.83125
chr14:35451702..35451746,-	chr12:56181085..56181108,-	ENSG00000258704.1	ENSMUSG00000062198.4	other	mRNA	chr14	35451722	-	chr12	56181101	-	4746.0	6913.0	2.8544400000000003	24.1088
chr14:35451751..35451774,-	chr12:56181085..56181108,-	ENSG00000258704.1	ENSMUSG00000062198.4	other	mRNA	chr14	35451761	-	chr12	56181101	-	4746.0	6913.0	0.526667	24.1088
chr14:57279899..57279907,+	chr14:49289793..49289805,+	ENSG00000248550.3	ENSMUSG00000098682.7	other	lncRNA	chr14	57279903	+	chr14	49289798	+	1782.0	376.0	0.028888900000000002	0.0
chr14:60981789..60981803,+	chr12:74046665..74046675,+	ENSG00000258670.1	ENSMUSG00000097010.1	lncRNA	lncRNA	chr14	60981795	+	chr12	74046670	+	308.0	198.0	0.346667	0.08125
chr14:62217749..62217763,-	chr12:75050766..75050815,-	ENSG00000258667.1	ENSMUSG00000087700.1	lncRNA	other	chr14	62217757	-	chr12	75050774	-	2877.0	537.0	0.043333300000000005	4.22
chr14:62217779..62217824,-	chr12:75050766..75050815,-	ENSG00000258667.1	ENSMUSG00000087700.1	lncRNA	other	chr14	62217815	-	chr12	75050774	-	4771.0	537.0	0.238889	4.22
chr14:62279392..62279482,+	chr12:75098736..75098804,+	ENSG00000258882.1	ENSMUSG00000044912.9	lncRNA	mRNA	chr14	62279420	+	chr12	75098763	+	1080.0	1805.0	0.302222	0.015
chr14:96342722..96342734,+	chr12:106575018..106575047,+	ENSG00000250366.2	ENSMUSG00000097929.8	other	mRNA	chr14	96342728	+	chr12	106575040	+	297.0	372.0	0.543333	0.50375
chr14:96342736..96342747,+	chr12:106575018..106575047,+	ENSG00000250366.2	ENSMUSG00000097929.8	other	mRNA	chr14	96342741	+	chr12	106575040	+	712.0	372.0	0.687778	0.50375
chr14:96342779..96342790,+	chr12:106575132..106575180,+	ENSG00000250366.2	ENSMUSG00000097929.8	other	mRNA	chr14	96342784	+	chr12	106575150	+	712.0	353.0	2.00778	0.7775
chr14:96342861..96342881,+	chr12:106575132..106575180,+	ENSG00000250366.2	ENSMUSG00000097929.8	other	mRNA	chr14	96342874	+	chr12	106575150	+	301.0	353.0	3.5133300000000003	0.7775
chr14:96343026..96343041,+	chr12:106575370..106575380,+	ENSG00000250366.2	ENSMUSG00000097929.8	other	mRNA	chr14	96343035	+	chr12	106575375	+	197.0	301.0	0.132222	0.045
chr14:96343050..96343059,+	chr12:106575390..106575401,+	ENSG00000250366.2	ENSMUSG00000097929.8	other	mRNA	chr14	96343054	+	chr12	106575395	+	132.0	301.0	0.345556	0.20625
chr14:96343078..96343087,+	chr12:106575405..106575435,+	ENSG00000250366.2	ENSMUSG00000097929.8	other	mRNA	chr14	96343082	+	chr12	106575419	+	144.0	301.0	0.296667	0.51125
chr14:96343100..96343115,+	chr12:106575405..106575435,+	ENSG00000250366.2	ENSMUSG00000097929.8	other	mRNA	chr14	96343105	+	chr12	106575419	+	562.0	301.0	0.41555600000000004	0.51125
chr14:96343133..96343178,+	chr12:106575405..106575435,+	ENSG00000250366.2	ENSMUSG00000097929.8	other	mRNA	chr14	96343168	+	chr12	106575419	+	1502.0	301.0	3.29222	0.51125
chr14:96343250..96343261,+	chr12:106575405..106575435,+	ENSG00000250366.2	ENSMUSG00000097929.8	other	mRNA	chr14	96343255	+	chr12	106575419	+	561.0	301.0	2.1855599999999997	0.51125
chr15:41576157..41576168,+	chr2:119420024..119420068,+	ENSG00000247556.2	ENSMUSG00000085438.1	lncRNA	lncRNA	chr15	41576162	+	chr2	119420062	+	53543.0	21154.0	1.01667	4.09875
chr15:41576180..41576213,+	chr2:119420024..119420068,+	ENSG00000247556.2	ENSMUSG00000085438.1	lncRNA	lncRNA	chr15	41576205	+	chr2	119420062	+	53543.0	21154.0	56.9611	4.09875
chr15:50647118..50647203,+	chr2:126501033..126501083,+	ENSG00000244879.3	ENSMUSG00000098024.1	lncRNA	lncRNA	chr15	50647161	+	chr2	126501050	+	7819.0	2009.0	11.5856	2.39625
chr15:50647652..50647697,+	chr2:126501634..126501646,+	ENSG00000244879.3	ENSMUSG00000098024.1	lncRNA	lncRNA	chr15	50647681	+	chr2	126501639	+	7435.0	352.0	6.55	0.09125
chr15:75660431..75660463,+	chr9:56979040..56979059,-	ENSG00000260274.1	ENSMUSG00000086728.2	lncRNA	lncRNA	chr15	75660447	+	chr9	56979052	-	4461.0	1564.0	2.55111	0.275
chr15:80544547..80544561,-	chr7:91677474..91677491,+	ENSG00000259417.2	ENSMUSG00000097789.2	other	mRNA	chr15	80544554	-	chr7	91677484	+	3321.0	9930.0	0.0	0.0575
chr15:80544593..80544610,-	chr7:91677474..91677491,+	ENSG00000259417.2	ENSMUSG00000097789.2	other	mRNA	chr15	80544605	-	chr7	91677484	+	274.0	9930.0	0.0	0.0575
chr15:81616796..81616862,+	chr7:90780333..90780362,-	ENSG00000259343.1	ENSMUSG00000087088.2	lncRNA	other	chr15	81616828	+	chr7	90780350	-	773.0	4148.0	0.587778	0.95
chr15:83419302..83419341,+	chr7:88668441..88668495,+	ENSG00000250988.3	ENSMUSG00000097277.7	lncRNA	other	chr15	83419323	+	chr7	88668458	+	11674.0	2856.0	2.24556	4.64
chr15:89905733..89905752,+	chr7:86644904..86644921,+	ENSG00000255571.2	ENSMUSG00000097023.8	other	other	chr15	89905739	+	chr7	86644910	+	1272.0	5328.0	0.0	0.095
chr15:89905760..89905787,+	chr7:86644904..86644921,+	ENSG00000255571.2	ENSMUSG00000097023.8	other	other	chr15	89905765	+	chr7	86644910	+	1272.0	5328.0	0.0	0.095
chr15:96870289..96870304,-	chr7:77510261..77510285,+	ENSG00000247809.3	ENSMUSG00000100005.7	lncRNA	lncRNA	chr15	96870296	-	chr7	77510277	+	810.0	2085.0	0.04	0.0
chr15:96870350..96870377,-	chr7:77510261..77510285,+	ENSG00000247809.3	ENSMUSG00000100005.7	lncRNA	lncRNA	chr15	96870357	-	chr7	77510277	+	2405.0	2085.0	0.057777800000000004	0.0
chr15:96870555..96870593,-	chr7:77509967..77509988,+	ENSG00000247809.3	ENSMUSG00000100005.7	lncRNA	lncRNA	chr15	96870576	-	chr7	77509979	+	3942.0	1246.0	0.055555600000000004	0.0
chr15:96897563..96897600,+	chr7:77482713..77482763,-	ENSG00000259275.1	ENSMUSG00000109097.1	lncRNA	lncRNA	chr15	96897579	+	chr7	77482745	-	1259.0	609.0	0.0	0.05125
chr15:96897673..96897684,+	chr7:77482713..77482763,-	ENSG00000259275.1	ENSMUSG00000109097.1	lncRNA	lncRNA	chr15	96897678	+	chr7	77482745	-	265.0	609.0	0.0	0.05125
chr16:11945477..11945516,+	chr16:11203468..11203541,+	ENSG00000263307.1	ENSMUSG00000097537.1	lncRNA	lncRNA	chr16	11945504	+	chr16	11203475	+	1119.0	4252.0	0.17	5.89875
chr16:11945524..11945538,+	chr16:11203468..11203541,+	ENSG00000263307.1	ENSMUSG00000097537.1	lncRNA	lncRNA	chr16	11945531	+	chr16	11203475	+	1119.0	4252.0	0.197778	5.89875
chr16:29875137..29875191,+	chr7:134119301..134119357,-	ENSG00000214725.3	ENSMUSG00000097075.3	other	mRNA	chr16	29875172	+	chr7	134119348	-	554.0	1564.0	0.0	0.0475
chr16:29875194..29875203,+	chr7:134119301..134119357,-	ENSG00000214725.3	ENSMUSG00000097075.3	other	mRNA	chr16	29875198	+	chr7	134119348	-	554.0	1564.0	0.0	0.0475
chr16:30709663..30709675,-	chr7:134655745..134655756,-	ENSG00000261840.1	ENSMUSG00000101225.1	lncRNA	other	chr16	30709669	-	chr7	134655750	-	280.0	639.0	0.028888900000000002	0.26125
chr16:30709694..30709697,-	chr7:134655847..134655901,-	ENSG00000261840.1	ENSMUSG00000101225.1	lncRNA	other	chr16	30709695	-	chr7	134655861	-	280.0	1494.0	0.028888900000000002	0.83625
chr16:30709778..30709814,-	chr7:134655847..134655901,-	ENSG00000261840.1	ENSMUSG00000101225.1	lncRNA	other	chr16	30709791	-	chr7	134655861	-	3854.0	1494.0	2.23444	0.83625
