hg19_id	mm9_id	cage_id_hg19	cage_id_mm9	name_peak_hg19	name_peak_mm9	biotype_hg19	biotype_mm9	minimal_biotype_hg19	minimal_biotype_mm9	chr_tss_hg19	start_tss_hg19	end_tss_hg19	strand_tss_hg19	chr_tss_mm9	start_tss_mm9	end_tss_mm9	strand_tss_mm9	avg_exp_hg19	avg_exp_mm9	stem_exp_hg19	stem_exp_mm9	max_cage_hg19	max_cage_mm9	orig_species	har	tss_tile_num_max_hg19	tss_tile_num_max_mm9	n_tiles_hg19	n_tiles_mm9	tile_match
h.11	m.8	chr1:101491406..101491471,+	chr3:115591004..115591055,-	ENSG00000233184.2	ENSMUSG00000054426.11	divergent	divergent	other	other	chr1	101491462	101491463	+	chr3	115591014	115591015	-	8.32	9.56	5.603330000000001	3.8625	8771.0	11637.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.12	m.9	chr1:101702167..101702180,-	chr3:115418074..115418090,+	ENSG00000225938.1	ENSMUSG00000052769.7	divergent	divergent	lncRNA	lncRNA	chr1	101702171	101702172	-	chr3	115418088	115418089	+	1.34	0.25	0.0133333	0.155	3109.0	625.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.13	m.10	chr1:145096387..145096477,+	chr3:97705122..97705173,+	ENSG00000223380.3	ENSMUSG00000027879.9	intergenic	protein_coding	mRNA	mRNA	chr1	145096407	145096408	+	chr3	97705149	97705150	+	135.02	49.04	31.8444	25.7075	79877.0	44332.0	human	False	tile1	tile1	2.0	4.0	tile1:tile1
h.14	m.10	chr1:145096480..145096513,+	chr3:97705122..97705173,+	ENSG00000223380.3	ENSMUSG00000027879.9	intergenic	protein_coding	mRNA	mRNA	chr1	145096494	145096495	+	chr3	97705149	97705150	+	9.09	49.04	5.615559999999999	25.7075	53131.0	44332.0	human	False	tile2	tile1	1.0	4.0	tile1:tile2
h.15	m.11	chr1:151763294..151763320,+	chr3:94216809..94216812,-	ENSG00000203288.3	ENSMUSG00000097515.2	divergent	divergent	lncRNA	lncRNA	chr1	151763309	151763310	+	chr3	94216810	94216811	-	1.2	0.02	0.79	0.0	1646.0	90.0	human	False	tile2	tile2	2.0	4.0	tile2:tile2
h.16	m.11	chr1:151763321..151763339,+	chr3:94216809..94216812,-	ENSG00000203288.3	ENSMUSG00000097515.2	divergent	divergent	lncRNA	lncRNA	chr1	151763331	151763332	+	chr3	94216810	94216811	-	0.88	0.02	0.218889	0.0	1646.0	90.0	human	False	tile2	tile2	2.0	4.0	tile2:tile2
h.17	m.12	chr1:155531819..155531833,+	chr3:88755068..88755135,-	ENSG00000235919.3	ENSMUSG00000068921.14	divergent	protein_coding	other	mRNA	chr1	155531820	155531821	+	chr3	88755084	88755085	-	1.06	2.45	0.712222	3.07375	2913.0	1052.0	human	False	tile2	tile1	2.0	2.0	tile1:tile2
h.18	m.13	chr1:173604472..173604481,+	chr1:163089441..163089445,-	ENSG00000232113.1	ENSMUSG00000049160.15	antisense	antisense	lncRNA	lncRNA	chr1	173604476	173604477	+	chr1	163089443	163089444	-	0.0	0.43	0.04	0.0	26.0	828.0	human	False	tile1	tile2	2.0	2.0	tile1:tile2
h.19	m.14	chr1:179851611..179851688,-	chr1:157883318..157883388,+	ENSG00000272906.1	ENSMUSG00000050565.16	divergent	protein_coding	lncRNA	mRNA	chr1	179851618	179851619	-	chr1	157883365	157883366	+	2.59	2.89	0.946667	0.89875	1181.0	1238.0	human	False	tile2	tile2	2.0	2.0	tile2:tile2
h.20	m.15	chr1:179852118..179852175,-	chr1:157882835..157882893,+	ENSG00000272906.1	ENSMUSG00000050565.16	divergent	protein_coding	lncRNA	mRNA	chr1	179852157	179852158	-	chr1	157882856	157882857	+	0.9	36.96	1.26778	21.3487	743.0	25153.0	human	False	tile1	tile2	2.0	1.0	tile1:tile2
h.21	m.16	chr1:185286578..185286606,+	chr1:153191448..153191483,-	ENSG00000273004.1	ENSMUSG00000100954.4	divergent	divergent	lncRNA	lncRNA	chr1	185286599	185286600	+	chr1	153191467	153191468	-	0.58	1.72	0.0744444	1.65625	548.0	1725.0	human	False	tile1	tile1	1.0	2.0	tile1:tile1
h.22	m.17	chr1:198906528..198906573,-	chr1:139795137..139795194,+	ENSG00000229989.3	ENSMUSG00000098243.3	intergenic	intergenic	lncRNA	other	chr1	198906557	198906558	-	chr1	139795165	139795166	+	17.52	25.41	0.0677778	0.0825	34919.0	47409.0	human	False	tile1	tile1	1.0	2.0	tile1:tile1
h.23	m.18	chr1:200638629..200638641,+	chr1:138312085..138312107,-	ENSG00000260088.1	ENSMUSG00000097403.2	divergent	divergent	lncRNA	other	chr1	200638634	200638635	+	chr1	138312095	138312096	-	0.13	0.95	0.0144444	0.575	394.0	1511.0	human	False		tile2		1.0	
h.24	m.19	chr1:200993071..200993094,+	chr1:138027752..138027762,-	ENSG00000229191.1	ENSMUSG00000086264.9	divergent	divergent	other	lncRNA	chr1	200993076	200993077	+	chr1	138027758	138027759	-	0.22	0.16	1.7444400000000002	0.10625	345.0	457.0	human	False		tile1		1.0	
h.25	m.20	chr1:208042503..208042527,-	chr1:196802536..196802585,+	ENSG00000203709.5	ENSMUSG00000096929.7	intergenic	intergenic	other	other	chr1	208042510	208042511	-	chr1	196802575	196802576	+	2.03	3.85	0.10444400000000001	0.28875	6327.0	1790.0	human	False	tile2	tile2	1.0	1.0	tile2:tile2
h.26	m.21	chr1:209602156..209602174,+	chr1:195336396..195336410,-	ENSG00000230937.5	ENSMUSG00000097850.2	intergenic	intergenic	other	other	chr1	209602164	209602165	+	chr1	195336403	195336404	-	41.11	5.11	17.4833	2.96	133864.0	21151.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.27	m.22	chr1:209602671..209602695,+	chr1:195336318..195336327,-	ENSG00000230937.5	ENSMUSG00000097850.2	intergenic	intergenic	other	other	chr1	209602689	209602690	+	chr1	195336321	195336322	-	0.12	0.54	0.0266667	2.58625	212.0	1306.0	human	False	tile2	tile2	2.0	6.0	tile2:tile2
h.28	m.22	chr1:209602697..209602719,+	chr1:195336318..195336327,-	ENSG00000230937.5	ENSMUSG00000097850.2	intergenic	intergenic	other	other	chr1	209602704	209602705	+	chr1	195336321	195336322	-	0.13	0.54	0.027777800000000002	2.58625	212.0	1306.0	human	False	tile1	tile2	2.0	6.0	tile1:tile2
h.29	m.23	chr1:210407103..210407111,-	chr1:194681110..194681131,+	ENSG00000203706.4	ENSMUSG00000089812.2	antisense	divergent	lncRNA	lncRNA	chr1	210407107	210407108	-	chr1	194681121	194681122	+	0.07	6.88	0.0	0.575	249.0	11261.0	human	False	tile2	tile1	2.0	6.0	tile1:tile2
h.30	m.23	chr1:210407136..210407144,-	chr1:194681110..194681131,+	ENSG00000203706.4	ENSMUSG00000089812.2	antisense	divergent	lncRNA	lncRNA	chr1	210407138	210407139	-	chr1	194681121	194681122	+	0.09	6.88	0.0	0.575	1493.0	11261.0	human	False	tile2	tile1	1.0	6.0	tile1:tile2
h.31	m.23	chr1:210407207..210407250,-	chr1:194681110..194681131,+	ENSG00000203706.4	ENSMUSG00000089812.2	antisense	divergent	lncRNA	lncRNA	chr1	210407227	210407228	-	chr1	194681121	194681122	+	2.19	6.88	0.946667	0.575	2406.0	11261.0	human	False	tile1	tile1	2.0	6.0	tile1:tile1
h.32	m.24	chr1:229644215..229644240,+	chr8:126473310..126473337,+	ENSG00000223635.1	ENSMUSG00000110615.1	divergent	divergent	lncRNA	other	chr1	229644220	229644221	+	chr8	126473315	126473316	+	0.74	1.35	0.876667	1.02375	1350.0	1392.0	human	False	tile2	tile1	1.0	2.0	tile1:tile2
h.33	m.25	chr10:18947984..18947997,-	chr2:14976686..14976706,-	ENSG00000152487.6	ENSMUSG00000026707.15	divergent	protein_coding	other	mRNA	chr10	18947991	18947992	-	chr2	14976694	14976695	-	0.82	1.03	0.0177778	0.55375	4547.0	1923.0	human	False	tile2	tile1	2.0	6.0	tile1:tile2
h.34	m.25	chr10:18948004..18948012,-	chr2:14976686..14976706,-	ENSG00000152487.6	ENSMUSG00000026707.15	divergent	protein_coding	other	mRNA	chr10	18948008	18948009	-	chr2	14976694	14976695	-	0.19	1.03	0.0	0.55375	4547.0	1923.0	human	False	tile2	tile1	2.0	6.0	tile1:tile2
h.35	m.25	chr10:18948156..18948202,-	chr2:14976686..14976706,-	ENSG00000152487.6	ENSMUSG00000026707.15	divergent	protein_coding	other	mRNA	chr10	18948165	18948166	-	chr2	14976694	14976695	-	2.32	1.03	1.0333299999999999	0.55375	3051.0	1923.0	human	False	tile2	tile1	2.0	6.0	tile1:tile2
h.36	m.26	chr10:120001011..120001039,+	chr19:60220585..60220600,+	ENSG00000238276.1	ENSMUSG00000053117.10	intergenic	intergenic	lncRNA	lncRNA	chr10	120001033	120001034	+	chr19	60220591	60220592	+	0.12	0.75	0.057777800000000004	0.0	233.0	3072.0	human	False	tile1	tile2	1.0	2.0	tile1:tile2
h.37	m.27	chr10:126605420..126605444,+	chr7:140122911..140122929,+	ENSG00000249456.1	ENSMUSG00000030967.15	intergenic	protein_coding	lncRNA	mRNA	chr10	126605429	126605430	+	chr7	140122919	140122920	+	1.97	8.52	0.763333	6.76625	10517.0	21176.0	human	False	tile2	tile1	1.0	6.0	tile1:tile2
h.38	m.27	chr10:126605451..126605474,+	chr7:140122911..140122929,+	ENSG00000249456.1	ENSMUSG00000030967.15	intergenic	protein_coding	lncRNA	mRNA	chr10	126605462	126605463	+	chr7	140122919	140122920	+	5.58	8.52	4.35444	6.76625	12806.0	21176.0	human	False	tile2	tile1	2.0	6.0	tile1:tile2
h.39	m.27	chr10:126605481..126605502,+	chr7:140122911..140122929,+	ENSG00000249456.1	ENSMUSG00000030967.15	intergenic	protein_coding	lncRNA	mRNA	chr10	126605488	126605489	+	chr7	140122919	140122920	+	5.48	8.52	6.998889999999999	6.76625	12806.0	21176.0	human	False		tile1		6.0	
h.40	m.28	chr10:131909071..131909102,-	chr7:144602400..144602444,-	ENSG00000237489.2	ENSMUSG00000040139.14	intergenic	protein_coding	other	mRNA	chr10	131909084	131909085	-	chr7	144602438	144602439	-	1.58	6.29	1.19556	9.665	1400.0	6250.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.41	m.29	chr11:2161704..2161708,+	chr7:149846528..149846553,+	ENSG00000099869.6	ENSMUSG00000086266.1	antisense	antisense	lncRNA	other	chr11	2161706	2161707	+	chr7	149846539	149846540	+	0.02	0.34	0.0	0.03	93.0	565.0	human	False	tile2	tile1	1.0	4.0	tile1:tile2
h.42	m.29	chr11:2161753..2161764,+	chr7:149846528..149846553,+	ENSG00000099869.6	ENSMUSG00000086266.1	antisense	antisense	lncRNA	other	chr11	2161758	2161759	+	chr7	149846539	149846540	+	0.13	0.34	0.114444	0.03	438.0	565.0	human	False	tile2	tile1	1.0	4.0	tile1:tile2
h.43	m.30	chr11:2399215..2399267,-	chr7:150239284..150239364,-	ENSG00000238184.1	ENSMUSG00000059277.12	antisense	divergent	other	lncRNA	chr11	2399226	2399227	-	chr7	150239333	150239334	-	1.29	3.24	1.94222	2.7	1100.0	1653.0	human	False	tile2	tile1	1.0	2.0	tile1:tile2
h.44	m.31	chr11:2721215..2721231,-	chr7:150482434..150482471,-	ENSG00000269821.1	ENSMUSG00000101609.1	antisense	antisense	lncRNA	other	chr11	2721222	2721223	-	chr7	150482444	150482445	-	8.64	17.73	9.126669999999999	13.8175	20080.0	27846.0	human	False	tile2	tile2	2.0	4.0	tile2:tile2
h.45	m.31	chr11:2721234..2721235,-	chr7:150482434..150482471,-	ENSG00000269821.1	ENSMUSG00000101609.1	antisense	antisense	lncRNA	other	chr11	2721234	2721235	-	chr7	150482444	150482445	-	0.07	17.73	0.105556	13.8175	20080.0	27846.0	human	False	tile2	tile2	1.0	4.0	tile2:tile2
h.46	m.32	chr11:13984141..13984144,+	chr7:120909558..120909577,+	ENSG00000152268.8	ENSMUSG00000038156.16	intergenic	protein_coding	mRNA	mRNA	chr11	13984142	13984143	+	chr7	120909566	120909567	+	0.03	0.3	0.0755556	0.01625	966.0	1060.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.47	m.33	chr11:13984178..13984191,+	chr7:120909633..120909713,+	ENSG00000152268.8	ENSMUSG00000038156.16	intergenic	protein_coding	mRNA	mRNA	chr11	13984183	13984184	+	chr7	120909677	120909678	+	0.26	5.71	0.0922222	0.235	966.0	4099.0	human	False	tile1	tile1	2.0	8.0	tile1:tile1
h.48	m.33	chr11:13984223..13984310,+	chr7:120909633..120909713,+	ENSG00000152268.8	ENSMUSG00000038156.16	intergenic	protein_coding	mRNA	mRNA	chr11	13984269	13984270	+	chr7	120909677	120909678	+	9.3	5.71	5.97889	0.235	7649.0	4099.0	human	False	tile1	tile1	2.0	8.0	tile1:tile1
h.49	m.33	chr11:13984314..13984321,+	chr7:120909633..120909713,+	ENSG00000152268.8	ENSMUSG00000038156.16	intergenic	protein_coding	mRNA	mRNA	chr11	13984317	13984318	+	chr7	120909677	120909678	+	0.16	5.71	0.0755556	0.235	7649.0	4099.0	human	False	tile2	tile1	2.0	8.0	tile1:tile2
h.50	m.33	chr11:13984363..13984393,+	chr7:120909633..120909713,+	ENSG00000152268.8	ENSMUSG00000038156.16	intergenic	protein_coding	mRNA	mRNA	chr11	13984373	13984374	+	chr7	120909677	120909678	+	0.48	5.71	0.114444	0.235	517.0	4099.0	human	False	tile2	tile1	1.0	8.0	tile1:tile2
h.51	m.34	chr11:32457136..32457145,+	chr2:104966683..104966700,-	ENSG00000183242.7	ENSMUSG00000074987.9	divergent	divergent	lncRNA	lncRNA	chr11	32457138	32457139	+	chr2	104966693	104966694	-	0.02	0.12	0.0	0.08125	392.0	592.0	human	False	tile1	tile1	1.0	4.0	tile1:tile1
h.52	m.34	chr11:32457160..32457180,+	chr2:104966683..104966700,-	ENSG00000183242.7	ENSMUSG00000074987.9	divergent	divergent	lncRNA	lncRNA	chr11	32457167	32457168	+	chr2	104966693	104966694	-	0.17	0.12	0.0	0.08125	392.0	592.0	human	False	tile1	tile1	2.0	4.0	tile1:tile1
h.53	m.35	chr11:57405820..57405858,+	chr2:84583906..84583921,-	ENSG00000254602.1	ENSMUSG00000097187.1	intergenic	protein_coding	lncRNA	mRNA	chr11	57405848	57405849	+	chr2	84583912	84583913	-	3.09	2.74	18.3467	4.23375	7107.0	7627.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.54	m.36	chr11:65266361..65266383,-	chr19:5802809..5802814,+	ENSG00000270117.1	ENSMUSG00000102349.1	intergenic	intergenic	lncRNA	lncRNA	chr11	65266377	65266378	-	chr19	5802811	5802812	+	0.7	0.74	0.252222	1.4025	1148.0	1496.0	human	False	tile2	tile2	1.0	2.0	tile2:tile2
h.55	m.36	chr11:65266459..65266465,-	chr19:5802809..5802814,+	ENSG00000270117.1	ENSMUSG00000102349.1	intergenic	intergenic	lncRNA	lncRNA	chr11	65266461	65266462	-	chr19	5802811	5802812	+	0.2	0.74	0.043333300000000005	1.4025	501.0	1496.0	human	False	tile1	tile2	2.0	2.0	tile1:tile2
h.56	m.37	chr11:65266731..65266766,-	chr19:5802349..5802404,+	ENSG00000270117.1	ENSMUSG00000102349.1	intergenic	intergenic	lncRNA	lncRNA	chr11	65266742	65266743	-	chr19	5802388	5802389	+	6.82	7.25	1.63111	1.2075	12369.0	8160.0	human	False	tile2	tile1	2.0	8.0	tile1:tile2
h.57	m.37	chr11:65266774..65266800,-	chr19:5802349..5802404,+	ENSG00000270117.1	ENSMUSG00000102349.1	intergenic	intergenic	lncRNA	lncRNA	chr11	65266783	65266784	-	chr19	5802388	5802389	+	5.07	7.25	1.57444	1.2075	12369.0	8160.0	human	False	tile2	tile1	2.0	8.0	tile1:tile2
h.58	m.37	chr11:65266809..65266818,-	chr19:5802349..5802404,+	ENSG00000270117.1	ENSMUSG00000102349.1	intergenic	intergenic	lncRNA	lncRNA	chr11	65266813	65266814	-	chr19	5802388	5802389	+	0.48	7.25	0.26111100000000004	1.2075	12369.0	8160.0	human	False	tile2	tile1	2.0	8.0	tile1:tile2
h.59	m.37	chr11:65266823..65266862,-	chr19:5802349..5802404,+	ENSG00000270117.1	ENSMUSG00000102349.1	intergenic	intergenic	lncRNA	lncRNA	chr11	65266852	65266853	-	chr19	5802388	5802389	+	7.02	7.25	1.6711099999999999	1.2075	10212.0	8160.0	human	False	tile2	tile1	2.0	8.0	tile1:tile2
h.60	m.38	chr11:82783097..82783155,+	chr7:99889927..99889954,-	ENSG00000246067.3	ENSMUSG00000074024.5	divergent	divergent	lncRNA	lncRNA	chr11	82783147	82783148	+	chr7	99889943	99889944	-	12.36	10.83	14.0844	8.17125	12004.0	14457.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.61	m.39	chr11:82904668..82904715,-	chr7:99785679..99785731,+	ENSG00000247137.4	ENSMUSG00000103887.1	divergent	divergent	lncRNA	lncRNA	chr11	82904704	82904705	-	chr7	99785716	99785717	+	6.5	6.89	5.318890000000001	10.8238	8409.0	5737.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.62	m.40	chr11:125462344..125462395,-	chr9:36575597..36575616,+	ENSG00000254671.1	ENSMUSG00000096993.3	divergent	divergent	lncRNA	lncRNA	chr11	125462380	125462381	-	chr9	36575605	36575606	+	2.94	0.43	0.743333	0.2475	1976.0	873.0	human	False	tile1	tile1	1.0	2.0	tile1:tile1
h.63	m.41	chr11:125462488..125462499,-	chr9:36575466..36575477,+	ENSG00000254671.1	ENSMUSG00000096993.3	divergent	divergent	lncRNA	lncRNA	chr11	125462493	125462494	-	chr9	36575471	36575472	+	0.15	0.06	0.437778	0.06875	616.0	142.0	human	False	tile2	tile1	1.0	2.0	tile1:tile2
h.64	m.42	chr11:130184915..130184943,+	chr9:30837866..30837898,-	ENSG00000175773.8	ENSMUSG00000111673.1	divergent	divergent	lncRNA	other	chr11	130184922	130184923	+	chr9	30837890	30837891	-	0.27	0.45	0.235556	0.9475	369.0	386.0	human	False					
h.65	m.42	chr11:130184973..130184981,+	chr9:30837866..30837898,-	ENSG00000175773.8	ENSMUSG00000111673.1	divergent	divergent	lncRNA	other	chr11	130184978	130184979	+	chr9	30837890	30837891	-	0.03	0.45	0.123333	0.9475	369.0	386.0	human	False					
h.66	m.43	chr12:24715307..24715319,-	chr6:144730427..144730508,-	ENSG00000255864.1	ENSMUSG00000041540.16	intergenic	protein_coding	lncRNA	mRNA	chr12	24715313	24715314	-	chr6	144730460	144730461	-	0.14	3.83	0.0466667	0.03125	1146.0	1686.0	human	False	tile2	tile2	2.0	4.0	tile2:tile2
h.67	m.43	chr12:24715342..24715354,-	chr6:144730427..144730508,-	ENSG00000255864.1	ENSMUSG00000041540.16	intergenic	protein_coding	lncRNA	mRNA	chr12	24715347	24715348	-	chr6	144730460	144730461	-	0.2	3.83	0.0177778	0.03125	1554.0	1686.0	human	False	tile1	tile2	2.0	4.0	tile1:tile2
h.68	m.44	chr12:54519842..54519849,+	chr15:102932646..102932659,+	ENSG00000250742.1	ENSMUSG00000099758.1	intergenic	intergenic	lncRNA	lncRNA	chr12	54519846	54519847	+	chr15	102932656	102932657	+	0.61	0.13	0.132222	0.01625	2604.0	295.0	human	False	tile1	tile1	1.0	2.0	tile1:tile1
h.69	m.44	chr12:54519919..54519965,+	chr15:102932646..102932659,+	ENSG00000250742.1	ENSMUSG00000099758.1	intergenic	intergenic	lncRNA	lncRNA	chr12	54519940	54519941	+	chr15	102932656	102932657	+	0.98	0.13	0.145556	0.01625	1193.0	295.0	human	False	tile2	tile1	2.0	2.0	tile1:tile2
h.70	m.45	chr12:67463617..67463639,-	chr10:118890594..118890664,+	ENSG00000256248.1	ENSMUSG00000034813.17	intergenic	protein_coding	lncRNA	mRNA	chr12	67463622	67463623	-	chr10	118890629	118890630	+	0.18	0.95	0.748889	0.88625	652.0	416.0	human	False	tile1	tile1	2.0	4.0	tile1:tile1
h.71	m.45	chr12:67463640..67463668,-	chr10:118890594..118890664,+	ENSG00000256248.1	ENSMUSG00000034813.17	intergenic	protein_coding	lncRNA	mRNA	chr12	67463660	67463661	-	chr10	118890629	118890630	+	0.35	0.95	1.2922200000000001	0.88625	652.0	416.0	human	False	tile1	tile1	2.0	4.0	tile1:tile1
h.72	m.46	chr12:76424486..76424575,+	chr10:110944372..110944394,-	ENSG00000257453.1	ENSMUSG00000100113.1	antisense	antisense	other	other	chr12	76424567	76424568	+	chr10	110944380	110944381	-	3.85	1.61	1.53111	0.41	2269.0	1351.0	human	False	tile1	tile2	2.0	6.0	tile1:tile2
h.73	m.46	chr12:76424595..76424611,+	chr10:110944372..110944394,-	ENSG00000257453.1	ENSMUSG00000100113.1	antisense	antisense	other	other	chr12	76424603	76424604	+	chr10	110944380	110944381	-	1.09	1.61	0.49222200000000005	0.41	2269.0	1351.0	human	False	tile1	tile2	2.0	6.0	tile1:tile2
h.74	m.46	chr12:76424631..76424648,+	chr10:110944372..110944394,-	ENSG00000257453.1	ENSMUSG00000100113.1	antisense	antisense	other	other	chr12	76424636	76424637	+	chr10	110944380	110944381	-	0.28	1.61	0.0722222	0.41	1514.0	1351.0	human	False	tile1	tile2	2.0	6.0	tile1:tile2
h.75	m.47	chr12:77718566..77718568,+	chr10:109892977..109893064,-	ENSG00000231121.2	ENSMUSG00000020181.16	intergenic	protein_coding	lncRNA	mRNA	chr12	77718567	77718568	+	chr10	109893031	109893032	-	0.44	7.02	0.13	0.01625	1908.0	3560.0	human	False	tile2	tile1	2.0	4.0	tile1:tile2
h.76	m.47	chr12:77718612..77718703,+	chr10:109892977..109893064,-	ENSG00000231121.2	ENSMUSG00000020181.16	intergenic	protein_coding	lncRNA	mRNA	chr12	77718670	77718671	+	chr10	109893031	109893032	-	3.36	7.02	0.911111	0.01625	2740.0	3560.0	human	False	tile2	tile1	1.0	4.0	tile1:tile2
h.77	m.48	chr12:89918639..89918654,+	chr10:98570663..98570719,-	ENSG00000270344.1	ENSMUSG00000112346.1	divergent	divergent	lncRNA	other	chr12	89918645	89918646	+	chr10	98570713	98570714	-	1.06	1.71	0.193333	0.1975	3918.0	1298.0	human	False	tile1	tile1	2.0	4.0	tile1:tile1
h.78	m.48	chr12:89918666..89918678,+	chr10:98570663..98570719,-	ENSG00000270344.1	ENSMUSG00000112346.1	divergent	divergent	lncRNA	other	chr12	89918672	89918673	+	chr10	98570713	98570714	-	0.54	1.71	0.028888900000000002	0.1975	3918.0	1298.0	human	False	tile1	tile1	2.0	4.0	tile1:tile1
h.79	m.49	chr12:93964602..93964622,-	chr10:94879617..94879627,+	ENSG00000246985.3	ENSMUSG00000097766.1	antisense	divergent	lncRNA	lncRNA	chr12	93964604	93964605	-	chr10	94879618	94879619	+	0.85	0.52	0.138889	0.3575	1024.0	564.0	human	False	tile1	tile1	1.0	1.0	tile1:tile1
h.80	m.50	chr12:107349216..107349228,-	chr10:84565232..84565294,-	ENSG00000260329.1	ENSMUSG00000050035.7	divergent	protein_coding	lncRNA	mRNA	chr12	107349222	107349223	-	chr10	84565239	84565240	-	0.1	3.08	0.0	2.35125	865.0	5810.0	human	False	tile1	tile2	1.0	1.0	tile1:tile2
h.81	m.51	chr12:113909805..113909830,+	chr5:120881766..120881780,-	ENSG00000257935.2	ENSMUSG00000098649.2	divergent	divergent	lncRNA	other	chr12	113909810	113909811	+	chr5	120881770	120881771	-	3.13	0.2	4.907780000000001	0.0	5896.0	341.0	human	False	tile1	tile1	2.0	6.0	tile1:tile1
