chr_tss_hg19	start_tss_hg19	end_tss_hg19	strand_tss_hg19	cage_id_hg19	biotype_hg19	name_peak_hg19	seq_orth	cage_orth	chr_tss_mm9	start_tss_mm9	end_tss_mm9	strand_tss_mm9	cage_id_mm9	biotype_mm9	name_peak_mm9	avg_exp_hg19	avg_exp_mm9	stem_exp_hg19	stem_exp_mm9	har	orig_species	lift_species	oligo_type	hg19_id	mm9_id	cleaner_biotype_hg19	cleaner_biotype_mm9	minimal_biotype_hg19	minimal_biotype_mm9
chr1	101702171	101702172	-	chr1:101702167..101702180,-	div_lnc	ENSG00000225938.1	True	True	chr3	115418088	115418089	+	chr3:115418074..115418090,+	div_lnc	ENSMUSG00000052769.7	1.34	0.25	0.0133333	0.155	False	human	mouse	human__divergent:mouse__divergent	h.12	m.9	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr1	145096407	145096408	+	chr1:145096387..145096477,+	protein_coding	ENSG00000223380.3	True	True	chr3	97705149	97705150	+	chr3:97705122..97705173,+	other_pc	ENSMUSG00000027879.9	135.02	49.04	31.8444	25.7075	False	human	mouse	human__intergenic:mouse__protein_coding	h.13	m.10	mRNA	other mRNA	mRNA	mRNA
chr1	151763309	151763310	+	chr1:151763294..151763320,+	div_lnc	ENSG00000203288.3	True	True	chr3	94216810	94216811	-	chr3:94216809..94216812,-	div_lnc	ENSMUSG00000097515.2	1.2	0.02	0.79	0.0	False	human	mouse	human__divergent:mouse__divergent	h.15	m.11	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr1	151763331	151763332	+	chr1:151763321..151763339,+	div_lnc	ENSG00000203288.3	True	True	chr3	94216810	94216811	-	chr3:94216809..94216812,-	div_lnc	ENSMUSG00000097515.2	0.88	0.02	0.218889	0.0	False	human	mouse	human__divergent:mouse__divergent	h.16	m.11	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr1	155531820	155531821	+	chr1:155531819..155531833,+	div_lnc	ENSG00000235919.3	True	True	chr3	88755084	88755085	-	chr3:88755068..88755135,-	div_pc	ENSMUSG00000068921.14	1.06	2.45	0.712222	3.07375	False	human	mouse	human__divergent:mouse__protein_coding	h.17	m.12	div. lncRNA	div. mRNA	lncRNA	mRNA
chr1	173604476	173604477	+	chr1:173604472..173604481,+	antisense	ENSG00000232113.1	True	True	chr1	163089443	163089444	-	chr1:163089441..163089445,-	antisense	ENSMUSG00000049160.15	0.0	0.43	0.04	0.0	False	human	mouse	human__antisense:mouse__antisense	h.18	m.13	other lncRNA	other lncRNA	lncRNA	lncRNA
chr1	179851618	179851619	-	chr1:179851611..179851688,-	div_lnc	ENSG00000272906.1	True	True	chr1	157883365	157883366	+	chr1:157883318..157883388,+	protein_coding	ENSMUSG00000050565.16	2.59	2.89	0.946667	0.89875	False	human	mouse	human__divergent:mouse__protein_coding	h.19	m.14	div. lncRNA	mRNA	lncRNA	mRNA
chr1	185286599	185286600	+	chr1:185286578..185286606,+	div_lnc	ENSG00000273004.1	True	True	chr1	153191467	153191468	-	chr1:153191448..153191483,-	div_lnc	ENSMUSG00000100954.4	0.58	1.72	0.0744444	1.65625	False	human	mouse	human__divergent:mouse__divergent	h.21	m.16	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr1	198906557	198906558	-	chr1:198906528..198906573,-	intergenic	ENSG00000229989.3	True	True	chr1	139795165	139795166	+	chr1:139795137..139795194,+	intergenic_upep	ENSMUSG00000098243.3	17.52	25.41	0.0677778	0.0825	False	human	mouse	human__intergenic:mouse__intergenic	h.22	m.17	lincRNA	other lncRNA	lncRNA	lncRNA
chr1	209602164	209602165	+	chr1:209602156..209602174,+	intergenic_upep	ENSG00000230937.5	True	True	chr1	195336403	195336404	-	chr1:195336396..195336410,-	intergenic_upep	ENSMUSG00000097850.2	41.11	5.11	17.4833	2.96	False	human	mouse	human__intergenic:mouse__intergenic	h.26	m.21	other lncRNA	other lncRNA	lncRNA	lncRNA
chr1	209602689	209602690	+	chr1:209602671..209602695,+	intergenic_upep	ENSG00000230937.5	True	True	chr1	195336321	195336322	-	chr1:195336318..195336327,-	intergenic_upep	ENSMUSG00000097850.2	0.12	0.54	0.0266667	2.58625	False	human	mouse	human__intergenic:mouse__intergenic	h.27	m.22	other lncRNA	other lncRNA	lncRNA	lncRNA
chr1	209602704	209602705	+	chr1:209602697..209602719,+	intergenic_upep	ENSG00000230937.5	True	True	chr1	195336321	195336322	-	chr1:195336318..195336327,-	intergenic_upep	ENSMUSG00000097850.2	0.13	0.54	0.027777800000000002	2.58625	False	human	mouse	human__intergenic:mouse__intergenic	h.28	m.22	other lncRNA	other lncRNA	lncRNA	lncRNA
chr1	210407107	210407108	-	chr1:210407103..210407111,-	antisense	ENSG00000203706.4	True	True	chr1	194681121	194681122	+	chr1:194681110..194681131,+	div_lnc	ENSMUSG00000089812.2	0.07	6.88	0.0	0.575	False	human	mouse	human__antisense:mouse__divergent	h.29	m.23	other lncRNA	div. lncRNA	lncRNA	lncRNA
chr1	210407227	210407228	-	chr1:210407207..210407250,-	antisense	ENSG00000203706.4	True	True	chr1	194681121	194681122	+	chr1:194681110..194681131,+	div_lnc	ENSMUSG00000089812.2	2.19	6.88	0.946667	0.575	False	human	mouse	human__antisense:mouse__divergent	h.31	m.23	other lncRNA	div. lncRNA	lncRNA	lncRNA
chr10	18947991	18947992	-	chr10:18947984..18947997,-	div_lnc	ENSG00000152487.6	True	True	chr2	14976694	14976695	-	chr2:14976686..14976706,-	protein_coding	ENSMUSG00000026707.15	0.82	1.03	0.0177778	0.55375	False	human	mouse	human__divergent:mouse__protein_coding	h.33	m.25	div. lncRNA	mRNA	lncRNA	mRNA
chr10	18948008	18948009	-	chr10:18948004..18948012,-	div_lnc	ENSG00000152487.6	True	True	chr2	14976694	14976695	-	chr2:14976686..14976706,-	protein_coding	ENSMUSG00000026707.15	0.19	1.03	0.0	0.55375	False	human	mouse	human__divergent:mouse__protein_coding	h.34	m.25	div. lncRNA	mRNA	lncRNA	mRNA
chr10	18948165	18948166	-	chr10:18948156..18948202,-	div_lnc	ENSG00000152487.6	True	True	chr2	14976694	14976695	-	chr2:14976686..14976706,-	protein_coding	ENSMUSG00000026707.15	2.32	1.03	1.0333299999999999	0.55375	False	human	mouse	human__divergent:mouse__protein_coding	h.35	m.25	div. lncRNA	mRNA	lncRNA	mRNA
chr10	120001033	120001034	+	chr10:120001011..120001039,+	intergenic	ENSG00000238276.1	True	True	chr19	60220591	60220592	+	chr19:60220585..60220600,+	intergenic	ENSMUSG00000053117.10	0.12	0.75	0.057777800000000004	0.0	False	human	mouse	human__intergenic:mouse__intergenic	h.36	m.26	lincRNA	lincRNA	lncRNA	lncRNA
chr10	126605462	126605463	+	chr10:126605451..126605474,+	intergenic	ENSG00000249456.1	True	True	chr7	140122919	140122920	+	chr7:140122911..140122929,+	other_pc	ENSMUSG00000030967.15	5.58	8.52	4.35444	6.76625	False	human	mouse	human__intergenic:mouse__protein_coding	h.38	m.27	lincRNA	other mRNA	lncRNA	mRNA
chr10	131909084	131909085	-	chr10:131909071..131909102,-	intergenic_upep	ENSG00000237489.2	True	True	chr7	144602438	144602439	-	chr7:144602400..144602444,-	protein_coding	ENSMUSG00000040139.14	1.58	6.29	1.19556	9.665	False	human	mouse	human__intergenic:mouse__protein_coding	h.40	m.28	other lncRNA	mRNA	lncRNA	mRNA
chr11	2721222	2721223	-	chr11:2721215..2721231,-	antisense	ENSG00000269821.1	True	True	chr7	150482444	150482445	-	chr7:150482434..150482471,-	antisense_upep	ENSMUSG00000101609.1	8.64	17.73	9.126669999999999	13.8175	False	human	mouse	human__antisense:mouse__antisense	h.44	m.31	other lncRNA	other lncRNA	lncRNA	lncRNA
chr11	13984142	13984143	+	chr11:13984141..13984144,+	protein_coding	ENSG00000152268.8	True	True	chr7	120909566	120909567	+	chr7:120909558..120909577,+	protein_coding	ENSMUSG00000038156.16	0.03	0.3	0.0755556	0.01625	False	human	mouse	human__intergenic:mouse__protein_coding	h.46	m.32	mRNA	mRNA	mRNA	mRNA
chr11	13984183	13984184	+	chr11:13984178..13984191,+	protein_coding	ENSG00000152268.8	True	True	chr7	120909677	120909678	+	chr7:120909633..120909713,+	protein_coding	ENSMUSG00000038156.16	0.26	5.71	0.0922222	0.235	False	human	mouse	human__intergenic:mouse__protein_coding	h.47	m.33	mRNA	mRNA	mRNA	mRNA
chr11	13984269	13984270	+	chr11:13984223..13984310,+	protein_coding	ENSG00000152268.8	True	True	chr7	120909677	120909678	+	chr7:120909633..120909713,+	protein_coding	ENSMUSG00000038156.16	9.3	5.71	5.97889	0.235	False	human	mouse	human__intergenic:mouse__protein_coding	h.48	m.33	mRNA	mRNA	mRNA	mRNA
chr11	13984317	13984318	+	chr11:13984314..13984321,+	protein_coding	ENSG00000152268.8	True	True	chr7	120909677	120909678	+	chr7:120909633..120909713,+	protein_coding	ENSMUSG00000038156.16	0.16	5.71	0.0755556	0.235	False	human	mouse	human__intergenic:mouse__protein_coding	h.49	m.33	mRNA	mRNA	mRNA	mRNA
chr11	32457138	32457139	+	chr11:32457136..32457145,+	div_lnc	ENSG00000183242.7	True	True	chr2	104966693	104966694	-	chr2:104966683..104966700,-	div_lnc	ENSMUSG00000074987.9	0.02	0.12	0.0	0.08125	False	human	mouse	human__divergent:mouse__divergent	h.51	m.34	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr11	32457167	32457168	+	chr11:32457160..32457180,+	div_lnc	ENSG00000183242.7	True	True	chr2	104966693	104966694	-	chr2:104966683..104966700,-	div_lnc	ENSMUSG00000074987.9	0.17	0.12	0.0	0.08125	False	human	mouse	human__divergent:mouse__divergent	h.52	m.34	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr11	57405848	57405849	+	chr11:57405820..57405858,+	intergenic	ENSG00000254602.1	True	True	chr2	84583912	84583913	-	chr2:84583906..84583921,-	protein_coding	ENSMUSG00000097187.1	3.09	2.74	18.3467	4.23375	False	human	mouse	human__intergenic:mouse__protein_coding	h.53	m.35	lincRNA	mRNA	lncRNA	mRNA
chr11	65266742	65266743	-	chr11:65266731..65266766,-	div_lnc	ENSG00000270117.1	True	True	chr19	5802388	5802389	+	chr19:5802349..5802404,+	div_lnc	ENSMUSG00000102349.1	6.82	7.25	1.63111	1.2075	False	human	mouse	human__intergenic:mouse__intergenic	h.56	m.37	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr11	65266783	65266784	-	chr11:65266774..65266800,-	div_lnc	ENSG00000270117.1	True	True	chr19	5802388	5802389	+	chr19:5802349..5802404,+	div_lnc	ENSMUSG00000102349.1	5.07	7.25	1.57444	1.2075	False	human	mouse	human__intergenic:mouse__intergenic	h.57	m.37	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr11	65266813	65266814	-	chr11:65266809..65266818,-	div_lnc	ENSG00000270117.1	True	True	chr19	5802388	5802389	+	chr19:5802349..5802404,+	div_lnc	ENSMUSG00000102349.1	0.48	7.25	0.26111100000000004	1.2075	False	human	mouse	human__intergenic:mouse__intergenic	h.58	m.37	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr11	65266852	65266853	-	chr11:65266823..65266862,-	div_lnc	ENSG00000270117.1	True	True	chr19	5802388	5802389	+	chr19:5802349..5802404,+	div_lnc	ENSMUSG00000102349.1	7.02	7.25	1.6711099999999999	1.2075	False	human	mouse	human__intergenic:mouse__intergenic	h.59	m.37	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr11	82783147	82783148	+	chr11:82783097..82783155,+	div_lnc	ENSG00000246067.3	True	True	chr7	99889943	99889944	-	chr7:99889927..99889954,-	div_lnc	ENSMUSG00000074024.5	12.36	10.83	14.0844	8.17125	False	human	mouse	human__divergent:mouse__divergent	h.60	m.38	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr11	82904704	82904705	-	chr11:82904668..82904715,-	div_lnc	ENSG00000247137.4	True	True	chr7	99785716	99785717	+	chr7:99785679..99785731,+	div_lnc	ENSMUSG00000103887.1	6.5	6.89	5.318890000000001	10.8238	False	human	mouse	human__divergent:mouse__divergent	h.61	m.39	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr11	125462380	125462381	-	chr11:125462344..125462395,-	div_lnc	ENSG00000254671.1	True	True	chr9	36575605	36575606	+	chr9:36575597..36575616,+	div_lnc	ENSMUSG00000096993.3	2.94	0.43	0.743333	0.2475	False	human	mouse	human__divergent:mouse__divergent	h.62	m.40	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr12	24715313	24715314	-	chr12:24715307..24715319,-	intergenic	ENSG00000255864.1	True	True	chr6	144730460	144730461	-	chr6:144730427..144730508,-	protein_coding	ENSMUSG00000041540.16	0.14	3.83	0.0466667	0.03125	False	human	mouse	human__intergenic:mouse__protein_coding	h.66	m.43	lincRNA	mRNA	lncRNA	mRNA
chr12	24715347	24715348	-	chr12:24715342..24715354,-	intergenic	ENSG00000255864.1	True	True	chr6	144730460	144730461	-	chr6:144730427..144730508,-	protein_coding	ENSMUSG00000041540.16	0.2	3.83	0.0177778	0.03125	False	human	mouse	human__intergenic:mouse__protein_coding	h.67	m.43	lincRNA	mRNA	lncRNA	mRNA
chr12	54519846	54519847	+	chr12:54519842..54519849,+	other_lnc	ENSG00000250742.1	True	True	chr15	102932656	102932657	+	chr15:102932646..102932659,+	div_lnc	ENSMUSG00000099758.1	0.61	0.13	0.132222	0.01625	False	human	mouse	human__intergenic:mouse__intergenic	h.68	m.44	other lncRNA	div. lncRNA	lncRNA	lncRNA
chr12	54519940	54519941	+	chr12:54519919..54519965,+	other_lnc	ENSG00000250742.1	True	True	chr15	102932656	102932657	+	chr15:102932646..102932659,+	div_lnc	ENSMUSG00000099758.1	0.98	0.13	0.145556	0.01625	False	human	mouse	human__intergenic:mouse__intergenic	h.69	m.44	other lncRNA	div. lncRNA	lncRNA	lncRNA
chr12	67463622	67463623	-	chr12:67463617..67463639,-	intergenic	ENSG00000256248.1	True	True	chr10	118890629	118890630	+	chr10:118890594..118890664,+	protein_coding	ENSMUSG00000034813.17	0.18	0.95	0.748889	0.88625	False	human	mouse	human__intergenic:mouse__protein_coding	h.70	m.45	lincRNA	mRNA	lncRNA	mRNA
chr12	67463660	67463661	-	chr12:67463640..67463668,-	intergenic	ENSG00000256248.1	True	True	chr10	118890629	118890630	+	chr10:118890594..118890664,+	protein_coding	ENSMUSG00000034813.17	0.35	0.95	1.2922200000000001	0.88625	False	human	mouse	human__intergenic:mouse__protein_coding	h.71	m.45	lincRNA	mRNA	lncRNA	mRNA
chr12	76424567	76424568	+	chr12:76424486..76424575,+	antisense_upep	ENSG00000257453.1	True	True	chr10	110944380	110944381	-	chr10:110944372..110944394,-	antisense_upep	ENSMUSG00000100113.1	3.85	1.61	1.53111	0.41	False	human	mouse	human__antisense:mouse__antisense	h.72	m.46	other lncRNA	other lncRNA	lncRNA	lncRNA
chr12	76424603	76424604	+	chr12:76424595..76424611,+	antisense_upep	ENSG00000257453.1	True	True	chr10	110944380	110944381	-	chr10:110944372..110944394,-	antisense_upep	ENSMUSG00000100113.1	1.09	1.61	0.49222200000000005	0.41	False	human	mouse	human__antisense:mouse__antisense	h.73	m.46	other lncRNA	other lncRNA	lncRNA	lncRNA
chr12	76424636	76424637	+	chr12:76424631..76424648,+	antisense_upep	ENSG00000257453.1	True	True	chr10	110944380	110944381	-	chr10:110944372..110944394,-	antisense_upep	ENSMUSG00000100113.1	0.28	1.61	0.0722222	0.41	False	human	mouse	human__antisense:mouse__antisense	h.74	m.46	other lncRNA	other lncRNA	lncRNA	lncRNA
chr12	77718567	77718568	+	chr12:77718566..77718568,+	intergenic	ENSG00000231121.2	True	True	chr10	109893031	109893032	-	chr10:109892977..109893064,-	protein_coding	ENSMUSG00000020181.16	0.44	7.02	0.13	0.01625	False	human	mouse	human__intergenic:mouse__protein_coding	h.75	m.47	lincRNA	mRNA	lncRNA	mRNA
chr12	89918645	89918646	+	chr12:89918639..89918654,+	div_lnc	ENSG00000270344.1	True	True	chr10	98570713	98570714	-	chr10:98570663..98570719,-	div_lnc	ENSMUSG00000112346.1	1.06	1.71	0.193333	0.1975	False	human	mouse	human__divergent:mouse__divergent	h.77	m.48	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr12	89918672	89918673	+	chr12:89918666..89918678,+	div_lnc	ENSG00000270344.1	True	True	chr10	98570713	98570714	-	chr10:98570663..98570719,-	div_lnc	ENSMUSG00000112346.1	0.54	1.71	0.028888900000000002	0.1975	False	human	mouse	human__divergent:mouse__divergent	h.78	m.48	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr12	93964604	93964605	-	chr12:93964602..93964622,-	antisense	ENSG00000246985.3	True	True	chr10	94879618	94879619	+	chr10:94879617..94879627,+	div_lnc	ENSMUSG00000097766.1	0.85	0.52	0.138889	0.3575	False	human	mouse	human__antisense:mouse__divergent	h.79	m.49	other lncRNA	div. lncRNA	lncRNA	lncRNA
chr12	113909810	113909811	+	chr12:113909805..113909830,+	div_lnc	ENSG00000257935.2	True	True	chr5	120881770	120881771	-	chr5:120881766..120881780,-	div_lnc	ENSMUSG00000098649.2	3.13	0.2	4.907780000000001	0.0	False	human	mouse	human__divergent:mouse__divergent	h.81	m.51	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr12	113909843	113909844	+	chr12:113909837..113909849,+	div_lnc	ENSG00000257935.2	True	True	chr5	120881770	120881771	-	chr5:120881766..120881780,-	div_lnc	ENSMUSG00000098649.2	0.28	0.2	0.5544439999999999	0.0	False	human	mouse	human__divergent:mouse__divergent	h.82	m.51	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr12	113909859	113909860	+	chr12:113909855..113909864,+	div_lnc	ENSG00000257935.2	True	True	chr5	120881770	120881771	-	chr5:120881766..120881780,-	div_lnc	ENSMUSG00000098649.2	0.19	0.2	0.2	0.0	False	human	mouse	human__divergent:mouse__divergent	h.83	m.51	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr12	120933711	120933712	-	chr12:120933666..120933755,-	antisense	ENSG00000248008.2	True	True	chr5	115751126	115751127	+	chr5:115751120..115751183,+	div_lnc	ENSMUSG00000086368.2	7.22	1.2	4.79889	0.405	False	human	mouse	human__antisense:mouse__divergent	h.84	m.52	other lncRNA	div. lncRNA	lncRNA	lncRNA
chr12	122018423	122018424	+	chr12:122018401..122018435,+	div_lnc	ENSG00000256742.1	True	True	chr5	123439362	123439363	+	chr5:123439357..123439375,+	div_lnc	ENSMUSG00000056735.5	0.48	0.23	0.52	0.0625	False	human	mouse	human__divergent:mouse__divergent	h.85	m.53	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr12	122018754	122018755	+	chr12:122018746..122018755,+	div_lnc	ENSG00000256742.1	True	True	chr5	123439604	123439605	+	chr5:123439584..123439621,+	div_lnc	ENSMUSG00000056735.5	0.02	0.13	0.25111100000000003	1.43	False	human	mouse	human__divergent:mouse__divergent	h.86	m.54	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr13	45915726	45915727	+	chr13:45915717..45915752,+	div_lnc	ENSG00000170919.11	True	True	chr14	76244784	76244785	-	chr14:76244759..76244805,-	div_lnc	ENSMUSG00000085829.1	4.38	2.82	3.32778	0.78875	False	human	mouse	human__divergent:mouse__divergent	h.89	m.56	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr13	76210078	76210079	-	chr13:76210057..76210116,-	antisense	ENSG00000261105.1	True	True	chr14	102128944	102128945	-	chr14:102128907..102128952,-	div_pc	ENSMUSG00000053821.3	0.99	0.16	0.0811111	0.3375	False	human	mouse	human__antisense:mouse__protein_coding	h.90	m.57	other lncRNA	div. mRNA	lncRNA	mRNA
chr14	35451722	35451723	-	chr14:35451702..35451746,-	div_lnc	ENSG00000258704.1	True	True	chr12	56181101	56181102	-	chr12:56181085..56181108,-	protein_coding	ENSMUSG00000062198.4	3.25	5.19	2.8544400000000003	24.1088	False	human	mouse	human__divergent:mouse__protein_coding	h.94	m.59	div. lncRNA	mRNA	lncRNA	mRNA
chr14	35451761	35451762	-	chr14:35451751..35451774,-	div_lnc	ENSG00000258704.1	True	True	chr12	56181101	56181102	-	chr12:56181085..56181108,-	protein_coding	ENSMUSG00000062198.4	1.12	5.19	0.526667	24.1088	False	human	mouse	human__divergent:mouse__protein_coding	h.95	m.59	div. lncRNA	mRNA	lncRNA	mRNA
chr14	57279903	57279904	+	chr14:57279899..57279907,+	intergenic_upep	ENSG00000248550.3	True	True	chr14	49289798	49289799	+	chr14:49289793..49289805,+	intergenic	ENSMUSG00000098682.7	0.05	0.09	0.028888900000000002	0.0	False	human	mouse	human__intergenic:mouse__intergenic	h.96	m.60	other lncRNA	lincRNA	lncRNA	lncRNA
chr14	60981795	60981796	+	chr14:60981789..60981803,+	other_lnc	ENSG00000258670.1	True	True	chr12	74046670	74046671	+	chr12:74046665..74046675,+	intergenic	ENSMUSG00000097010.1	0.09	0.02	0.346667	0.08125	False	human	mouse	human__divergent:mouse__intergenic	h.97	m.61	other lncRNA	lincRNA	lncRNA	lncRNA
chr14	62217815	62217816	-	chr14:62217779..62217824,-	intergenic	ENSG00000258667.1	True	True	chr12	75050774	75050775	-	chr12:75050766..75050815,-	intergenic_upep	ENSMUSG00000087700.1	4.58	0.94	0.238889	4.22	False	human	mouse	human__intergenic:mouse__intergenic	h.99	m.62	lincRNA	other lncRNA	lncRNA	lncRNA
chr14	96342741	96342742	+	chr14:96342736..96342747,+	intergenic_upep	ENSG00000250366.2	True	True	chr12	106575040	106575041	+	chr12:106575018..106575047,+	protein_coding	ENSMUSG00000097929.8	0.07	0.29	0.687778	0.50375	False	human	mouse	human__intergenic:mouse__protein_coding	h.102	m.64	other lncRNA	mRNA	lncRNA	mRNA
chr14	96342874	96342875	+	chr14:96342861..96342881,+	intergenic_upep	ENSG00000250366.2	True	True	chr12	106575150	106575151	+	chr12:106575132..106575180,+	protein_coding	ENSMUSG00000097929.8	0.19	0.36	3.5133300000000003	0.7775	False	human	mouse	human__intergenic:mouse__protein_coding	h.104	m.65	other lncRNA	mRNA	lncRNA	mRNA
chr15	41576162	41576163	+	chr15:41576157..41576168,+	intergenic	ENSG00000247556.2	True	True	chr2	119420062	119420063	+	chr2:119420024..119420068,+	intergenic	ENSMUSG00000085438.1	1.35	12.63	1.01667	4.09875	False	human	mouse	human__intergenic:mouse__intergenic	h.111	m.69	lincRNA	lincRNA	lncRNA	lncRNA
chr15	41576205	41576206	+	chr15:41576180..41576213,+	intergenic	ENSG00000247556.2	True	True	chr2	119420062	119420063	+	chr2:119420024..119420068,+	intergenic	ENSMUSG00000085438.1	28.32	12.63	56.9611	4.09875	False	human	mouse	human__intergenic:mouse__intergenic	h.112	m.69	lincRNA	lincRNA	lncRNA	lncRNA
chr15	50647161	50647162	+	chr15:50647118..50647203,+	div_lnc	ENSG00000244879.3	True	True	chr2	126501050	126501051	+	chr2:126501033..126501083,+	div_lnc	ENSMUSG00000098024.1	13.58	4.71	11.5856	2.39625	False	human	mouse	human__divergent:mouse__divergent	h.113	m.70	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr15	75660447	75660448	+	chr15:75660431..75660463,+	div_lnc	ENSG00000260274.1	True	True	chr9	56979052	56979053	-	chr9:56979040..56979059,-	div_lnc	ENSMUSG00000086728.2	3.65	0.95	2.55111	0.275	False	human	mouse	human__divergent:mouse__divergent	h.115	m.72	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr15	80544554	80544555	-	chr15:80544547..80544561,-	intergenic_upep	ENSG00000259417.2	True	True	chr7	91677484	91677485	+	chr7:91677474..91677491,+	protein_coding	ENSMUSG00000097789.2	0.64	6.48	0.0	0.0575	False	human	mouse	human__intergenic:mouse__protein_coding	h.116	m.73	other lncRNA	mRNA	lncRNA	mRNA
