Ensembl ID	HGNC symbol	Motif evidence	Motif ID	Motif type	Motif source	CIS-BP ID	Best Motif(s)? (Figure 2A)
ENSG00000160224	AIRE	Direct	AIRE_f2	Misc	HocoMoco	M06440_1.94d	TRUE
ENSG00000160224	AIRE	Direct	V$AIRE_01	Transfac	Transfac	M03666_1.94d	
ENSG00000160224	AIRE	Direct	V$AIRE_02	Transfac	Transfac	M03667_1.94d	
ENSG00000180318	ALX1	Direct	ALX1_FL_HT-SELEX	HT-SELEX	Yin2017	M08464_1.94d	TRUE
ENSG00000180318	ALX1	Direct	ALX1_FL_Methyl-HT-SELEX	Methyl-HT-SELEX	Yin2017	M08465_1.94d	
ENSG00000180318	ALX1	Direct	ALX1_si	Misc	HocoMoco	M06441_1.94d	
ENSG00000180318	ALX1	Direct	CART1_1	HT-SELEX	Jolma2013	M05586_1.94d	TRUE
ENSG00000180318	ALX1	Direct	V$CART1_01	Transfac	Transfac	M03774_1.94d	
ENSG00000180318	ALX1	"Inferred - al (77% AA Identity, Drosophila melanogaster)"	MA0208.1	B1H	JASPAR	M02760_1.94d	
ENSG00000180318	ALX1	"Inferred - al (77% AA Identity, Drosophila melanogaster)"	al_1	HT-SELEX	Nitta2015	M07165_1.94d	
ENSG00000180318	ALX1	"Inferred - Alx1 (100% AA Identity, Mus musculus)"	Cart1_0997	PBM	Berger08	M01400_1.94d	
ENSG00000180318	ALX1	"Inferred - Alx1 (100% AA Identity, Mus musculus)"	Cart1_1275	PBM	Berger08	M01401_1.94d	
ENSG00000180318	ALX1	"Inferred - ALX3 (89% AA Identity, Homo sapiens)"	ALX3_FL_HT-SELEX	HT-SELEX	Yin2017	M08467_1.94d	
ENSG00000180318	ALX1	"Inferred - ALX3 (89% AA Identity, Homo sapiens)"	ALX3_FL_Methyl-HT-SELEX_1	Methyl-HT-SELEX	Yin2017	M09425_1.94d	
ENSG00000180318	ALX1	"Inferred - ALX3 (89% AA Identity, Homo sapiens)"	ALX3_FL_Methyl-HT-SELEX_2	Methyl-HT-SELEX	Yin2017	M09426_1.94d	
ENSG00000180318	ALX1	"Inferred - ALX3 (89% AA Identity, Homo sapiens)"	ALX3_eDBD_HT-SELEX	HT-SELEX	Yin2017	M08466_1.94d	
ENSG00000180318	ALX1	"Inferred - ALX3 (89% AA Identity, Homo sapiens)"	ALX3_eDBD_Methyl-HT-SELEX_1	Methyl-HT-SELEX	Yin2017	M09423_1.94d	
ENSG00000180318	ALX1	"Inferred - ALX3 (89% AA Identity, Homo sapiens)"	ALX3_eDBD_Methyl-HT-SELEX_2	Methyl-HT-SELEX	Yin2017	M09424_1.94d	
ENSG00000180318	ALX1	"Inferred - Alx3 (89% AA Identity, Mus musculus)"	Alx3_3418	PBM	Berger08	M01328_1.94d	
ENSG00000180318	ALX1	"Inferred - ALX4 (91% AA Identity, Homo sapiens)"	ALX4_eDBD_HT-SELEX	HT-SELEX	Yin2017	M08468_1.94d	
ENSG00000180318	ALX1	"Inferred - ALX4 (91% AA Identity, Homo sapiens)"	ALX4_eDBD_Methyl-HT-SELEX_1	Methyl-HT-SELEX	Yin2017	M09427_1.94d	
ENSG00000180318	ALX1	"Inferred - ALX4 (91% AA Identity, Homo sapiens)"	ALX4_eDBD_Methyl-HT-SELEX_2	Methyl-HT-SELEX	Yin2017	M09428_1.94d	
ENSG00000180318	ALX1	"Inferred - ALX4 (91% AA Identity, Homo sapiens)"	V$ALX4_01	Transfac	Transfac	M03669_1.94d	
ENSG00000180318	ALX1	"Inferred - Alx4 (91% AA Identity, Mus musculus)"	Alx4_1744	PBM	Berger08	M01416_1.94d	
ENSG00000180318	ALX1	"Inferred - ARX (80% AA Identity, Homo sapiens)"	ARX_L343Q	PBM	Barrera2016	M01213_1.94d	
ENSG00000180318	ALX1	"Inferred - ARX (80% AA Identity, Homo sapiens)"	ARX_P353L	PBM	Barrera2016	M01214_1.94d	
ENSG00000180318	ALX1	"Inferred - ARX (80% AA Identity, Homo sapiens)"	ARX_P353R	PBM	Barrera2016	M01215_1.94d	
ENSG00000180318	ALX1	"Inferred - ARX (80% AA Identity, Homo sapiens)"	ARX_R332H	PBM	Barrera2016	M01216_1.94d	
ENSG00000180318	ALX1	"Inferred - ARX (80% AA Identity, Homo sapiens)"	ARX_T333N	PBM	Barrera2016	M01218_1.94d	
ENSG00000180318	ALX1	"Inferred - ARX (82% AA Identity, Homo sapiens)"	ARX_REF	PBM	Barrera2016	M01217_1.94d	
ENSG00000180318	ALX1	"Inferred - ARX (82% AA Identity, Homo sapiens)"	ARX_eDBD_HT-SELEX	HT-SELEX	Yin2017	M08472_1.94d	
ENSG00000180318	ALX1	"Inferred - ARX (82% AA Identity, Homo sapiens)"	ARX_eDBD_Methyl-HT-SELEX	Methyl-HT-SELEX	Yin2017	M08473_1.94d	
ENSG00000180318	ALX1	"Inferred - Arx (82% AA Identity, Mus musculus)"	Arx_1738	PBM	Berger08	M01396_1.94d	
ENSG00000180318	ALX1	"Inferred - Arx (82% AA Identity, Rattus norvegicus)"	V$ARX_05	Transfac	Transfac	M03714_1.94d	
ENSG00000180318	ALX1	"Inferred - CG11294 (77% AA Identity, Drosophila melanogaster)"	CG11294_1	HT-SELEX	Nitta2015	M07217_1.94d	
ENSG00000180318	ALX1	"Inferred - CG11294 (77% AA Identity, Drosophila melanogaster)"	CG11294_2	HT-SELEX	Nitta2015	M07218_1.94d	
ENSG00000180318	ALX1	"Inferred - CG11294 (77% AA Identity, Drosophila melanogaster)"	MA0172.1	B1H	JASPAR	M02724_1.94d	
ENSG00000180318	ALX1	"Inferred - CG2808 (75% AA Identity, Drosophila melanogaster)"	CG2808_1	HT-SELEX	Nitta2015	M07232_1.94d	
ENSG00000180318	ALX1	"Inferred - CG32532 (71% AA Identity, Drosophila melanogaster)"	CG32532_1	HT-SELEX	Nitta2015	M07241_1.94d	
ENSG00000180318	ALX1	"Inferred - CG32532 (71% AA Identity, Drosophila melanogaster)"	MA0179.1	B1H	JASPAR	M02731_1.94d	
ENSG00000180318	ALX1	"Inferred - CG5369 (66% AA Identity, Drosophila melanogaster)"	CG5369_1	HT-SELEX	Nitta2015	M07245_1.94d	
ENSG00000180318	ALX1	"Inferred - CG5369 (66% AA Identity, Drosophila melanogaster)"	CG5369_2	HT-SELEX	Nitta2015	M07246_1.94d	
ENSG00000180318	ALX1	"Inferred - CG5369 (66% AA Identity, Drosophila melanogaster)"	CG5369_3	HT-SELEX	Nitta2015	M07247_1.94d	
ENSG00000180318	ALX1	"Inferred - CG9876 (70% AA Identity, Drosophila melanogaster)"	CG9876_1	HT-SELEX	Nitta2015	M07257_1.94d	
ENSG00000180318	ALX1	"Inferred - CG9876 (70% AA Identity, Drosophila melanogaster)"	CG9876_2	HT-SELEX	Nitta2015	M07258_1.94d	
ENSG00000180318	ALX1	"Inferred - CG9876 (70% AA Identity, Drosophila melanogaster)"	CG9876_3	HT-SELEX	Nitta2015	M07259_1.94d	
ENSG00000180318	ALX1	"Inferred - CG9876 (70% AA Identity, Drosophila melanogaster)"	CG9876_4	HT-SELEX	Nitta2015	M07260_1.94d	
ENSG00000180318	ALX1	"Inferred - CG9876 (70% AA Identity, Drosophila melanogaster)"	MA0184.1	B1H	JASPAR	M02736_1.94d	
ENSG00000180318	ALX1	"Inferred - CRX (66% AA Identity, Homo sapiens)"	CRX_E80A	PBM	Barrera2016	M01223_1.94d	
ENSG00000180318	ALX1	"Inferred - CRX (66% AA Identity, Homo sapiens)"	CRX_R41Q	PBM	Barrera2016	M01224_1.94d	
ENSG00000180318	ALX1	"Inferred - CRX (66% AA Identity, Homo sapiens)"	CRX_R90W	PBM	Barrera2016	M01226_1.94d	
ENSG00000180318	ALX1	"Inferred - CRX (66% AA Identity, Homo sapiens)"	CRX_V66I	PBM	Barrera2016	M01228_1.94d	
ENSG00000180318	ALX1	"Inferred - CRX (68% AA Identity, Homo sapiens)"	CRX_FL_HT-SELEX	HT-SELEX	Yin2017	M08546_1.94d	
ENSG00000180318	ALX1	"Inferred - CRX (68% AA Identity, Homo sapiens)"	CRX_FL_Methyl-HT-SELEX	Methyl-HT-SELEX	Yin2017	M08547_1.94d	
ENSG00000180318	ALX1	"Inferred - CRX (68% AA Identity, Homo sapiens)"	CRX_REF	PBM	Barrera2016	M01227_1.94d	
ENSG00000180318	ALX1	"Inferred - CRX (68% AA Identity, Homo sapiens)"	CRX_si	Misc	HocoMoco	M06482_1.94d	
ENSG00000180318	ALX1	"Inferred - CRX (68% AA Identity, Homo sapiens)"	V$CRX_Q4_01	Transfac	Transfac	M03857_1.94d	
ENSG00000180318	ALX1	"Inferred - CRX (68% AA Identity, Homo sapiens)"	V$CRX_Q4_02	Transfac	Transfac	M03858_1.94d	
ENSG00000180318	ALX1	"Inferred - Crx (68% AA Identity, Mus musculus)"	Crx_3485	PBM	Berger08	M01418_1.94d	
ENSG00000180318	ALX1	"Inferred - Crx (68% AA Identity, Mus musculus)"	MA0467.1	ChIP-seq	JASPAR	M03008_1.94d	
ENSG00000180318	ALX1	"Inferred - Crx (68% AA Identity, Mus musculus)"	Retina-Crx_GSE20012	Misc	HOMER	M06982_1.94d	
ENSG00000180318	ALX1	"Inferred - DMBX1 (73% AA Identity, Homo sapiens)"	DMBX1_eDBD_HT-SELEX	HT-SELEX	Yin2017	M08571_1.94d	
ENSG00000180318	ALX1	"Inferred - DMBX1 (73% AA Identity, Homo sapiens)"	DMBX1_eDBD_Methyl-HT-SELEX	Methyl-HT-SELEX	Yin2017	M08572_1.94d	
ENSG00000180318	ALX1	"Inferred - Dmbx1 (73% AA Identity, Mus musculus)"	Dmbx1_2277	PBM	Berger08	M01369_1.94d	
ENSG00000180318	ALX1	"Inferred - DRGX (75% AA Identity, Homo sapiens)"	DRGX_eDBD_HT-SELEX	HT-SELEX	Yin2017	M08586_1.94d	
ENSG00000180318	ALX1	"Inferred - DRGX (75% AA Identity, Homo sapiens)"	DRGX_eDBD_Methyl-HT-SELEX	Methyl-HT-SELEX	Yin2017	M08587_1.94d	
ENSG00000180318	ALX1	"Inferred - Drgx (75% AA Identity, Rattus norvegicus)"	V$PRRXL1_01	Transfac	Transfac	M04614_1.94d	
ENSG00000180318	ALX1	"Inferred - gsc (66% AA Identity, Xenopus tropicalis)"	FrogEmbryos-GSC_DRA000576	Misc	HOMER	M07072_1.94d	
ENSG00000180318	ALX1	"Inferred - Gsc (71% AA Identity, Drosophila melanogaster)"	Gsc	SMiLE-seq	Isakova2017	M10264_1.94d	
ENSG00000180318	ALX1	"Inferred - Gsc (71% AA Identity, Drosophila melanogaster)"	Gsc_1	HT-SELEX	Nitta2015	M07365_1.94d	
ENSG00000180318	ALX1	"Inferred - Gsc (71% AA Identity, Drosophila melanogaster)"	Gsc_2	HT-SELEX	Nitta2015	M07366_1.94d	
ENSG00000180318	ALX1	"Inferred - Gsc (71% AA Identity, Drosophila melanogaster)"	Gsc_3	HT-SELEX	Nitta2015	M07367_1.94d	
ENSG00000180318	ALX1	"Inferred - Gsc (71% AA Identity, Drosophila melanogaster)"	Gsc_4	HT-SELEX	Nitta2015	M07368_1.94d	
ENSG00000180318	ALX1	"Inferred - Gsc (71% AA Identity, Drosophila melanogaster)"	Gsc_5	HT-SELEX	Nitta2015	M07369_1.94d	
ENSG00000180318	ALX1	"Inferred - Gsc (71% AA Identity, Drosophila melanogaster)"	MA0190.1	B1H	JASPAR	M02742_1.94d	
ENSG00000180318	ALX1	"Inferred - Gsc (71% AA Identity, Drosophila melanogaster)"	pTH5511	PBM	Zoo_01	M01497_1.94d	
ENSG00000180318	ALX1	"Inferred - hbn (71% AA Identity, Drosophila melanogaster)"	MA0226.1	B1H	JASPAR	M02777_1.94d	
ENSG00000180318	ALX1	"Inferred - hbn (71% AA Identity, Drosophila melanogaster)"	hbn_1	HT-SELEX	Nitta2015	M07373_1.94d	
ENSG00000180318	ALX1	"Inferred - ISX (70% AA Identity, Homo sapiens)"	ISX_R83Q	PBM	Barrera2016	M01283_1.94d	
ENSG00000180318	ALX1	"Inferred - ISX (71% AA Identity, Homo sapiens)"	ISX_FL_HT-SELEX	HT-SELEX	Yin2017	M08860_1.94d	
ENSG00000180318	ALX1	"Inferred - ISX (71% AA Identity, Homo sapiens)"	ISX_FL_Methyl-HT-SELEX_1	Methyl-HT-SELEX	Yin2017	M09737_1.94d	
ENSG00000180318	ALX1	"Inferred - ISX (71% AA Identity, Homo sapiens)"	ISX_FL_Methyl-HT-SELEX_2	Methyl-HT-SELEX	Yin2017	M09738_1.94d	
ENSG00000180318	ALX1	"Inferred - ISX (71% AA Identity, Homo sapiens)"	ISX_REF	PBM	Barrera2016	M01284_1.94d	
ENSG00000180318	ALX1	"Inferred - ISX (71% AA Identity, Homo sapiens)"	ISX_eDBD_HT-SELEX	HT-SELEX	Yin2017	M08859_1.94d	
ENSG00000180318	ALX1	"Inferred - ISX (71% AA Identity, Homo sapiens)"	ISX_eDBD_Methyl-HT-SELEX_1	Methyl-HT-SELEX	Yin2017	M09735_1.94d	
ENSG00000180318	ALX1	"Inferred - ISX (71% AA Identity, Homo sapiens)"	ISX_eDBD_Methyl-HT-SELEX_2	Methyl-HT-SELEX	Yin2017	M09736_1.94d	
ENSG00000180318	ALX1	"Inferred - Isx (71% AA Identity, Mus musculus)"	Isx_3445	PBM	Berger08	M01381_1.94d	
ENSG00000180318	ALX1	"Inferred - otp (68% AA Identity, Drosophila melanogaster)"	MA0236.1	B1H	JASPAR	M02787_1.94d	
ENSG00000180318	ALX1	"Inferred - otp (68% AA Identity, Drosophila melanogaster)"	otp_1	HT-SELEX	Nitta2015	M07454_1.94d	
ENSG00000180318	ALX1	"Inferred - otp (68% AA Identity, Drosophila melanogaster)"	otp_2	HT-SELEX	Nitta2015	M07455_1.94d	
ENSG00000180318	ALX1	"Inferred - Otp (71% AA Identity, Mus musculus)"	Otp_3496	PBM	Berger08	M01344_1.94d	
ENSG00000180318	ALX1	"Inferred - PHDP (73% AA Identity, Drosophila melanogaster)"	MA0457.1	B1H	JASPAR	M02999_1.94d	
ENSG00000180318	ALX1	"Inferred - PHDP (73% AA Identity, Drosophila melanogaster)"	PHDP_1	HT-SELEX	Nitta2015	M07462_1.94d	
ENSG00000180318	ALX1	"Inferred - PHOX2A (77% AA Identity, Homo sapiens)"	PHOX2A_eDBD_HT-SELEX	HT-SELEX	Yin2017	M09058_1.94d	
ENSG00000180318	ALX1	"Inferred - PHOX2A (77% AA Identity, Homo sapiens)"	PHOX2A_eDBD_Methyl-HT-SELEX	Methyl-HT-SELEX	Yin2017	M09059_1.94d	
ENSG00000180318	ALX1	"Inferred - Phox2a (77% AA Identity, Mus musculus)"	Neuron-Phox2a_GSE31456	Misc	HOMER	M07034_1.94d	
ENSG00000180318	ALX1	"Inferred - Phox2a (77% AA Identity, Mus musculus)"	Phox2a_3947	PBM	Berger08	M01325_1.94d	
ENSG00000180318	ALX1	"Inferred - PHOX2B (75% AA Identity, Homo sapiens)"	PHOX2B_Q143R	PBM	Barrera2016	M01235_1.94d	
ENSG00000180318	ALX1	"Inferred - PHOX2B (77% AA Identity, Homo sapiens)"	PHOX2B_FL_HT-SELEX	HT-SELEX	Yin2017	M09062_1.94d	
ENSG00000180318	ALX1	"Inferred - PHOX2B (77% AA Identity, Homo sapiens)"	PHOX2B_FL_Methyl-HT-SELEX	Methyl-HT-SELEX	Yin2017	M09063_1.94d	
ENSG00000180318	ALX1	"Inferred - PHOX2B (77% AA Identity, Homo sapiens)"	PHOX2B_REF	PBM	Barrera2016	M01239_1.94d	
ENSG00000180318	ALX1	"Inferred - PHOX2B (77% AA Identity, Homo sapiens)"	PHOX2B_eDBD_HT-SELEX	HT-SELEX	Yin2017	M09060_1.94d	
ENSG00000180318	ALX1	"Inferred - PHOX2B (77% AA Identity, Homo sapiens)"	PHOX2B_eDBD_Methyl-HT-SELEX	Methyl-HT-SELEX	Yin2017	M09061_1.94d	
ENSG00000180318	ALX1	"Inferred - Phox2b (77% AA Identity, Mus musculus)"	Phox2b_3948	PBM	Berger08	M01327_1.94d	
ENSG00000180318	ALX1	"Inferred - Pph13 (77% AA Identity, Drosophila melanogaster)"	MA0200.1	B1H	JASPAR	M02752_1.94d	
ENSG00000180318	ALX1	"Inferred - Pph13 (77% AA Identity, Drosophila melanogaster)"	Pph13_1	HT-SELEX	Nitta2015	M07472_1.94d	
ENSG00000180318	ALX1	"Inferred - PRRX1 (71% AA Identity, Homo sapiens)"	PRRX1_f1	Misc	HocoMoco	M06740_1.94d	
ENSG00000180318	ALX1	"Inferred - PRRX1 (71% AA Identity, Homo sapiens)"	V$PMX1_Q6	Transfac	Transfac	M04577_1.94d	
ENSG00000180318	ALX1	"Inferred - Prrx1 (71% AA Identity, Mus musculus)"	Prrx1_3442	PBM	Berger08	M01359_1.94d	
ENSG00000180318	ALX1	"Inferred - Prrx1 (71% AA Identity, Rattus norvegicus)"	V$PMX1_01	Transfac	Transfac	M04576_1.94d	
ENSG00000180318	ALX1	"Inferred - PRRX2 (70% AA Identity, Homo sapiens)"	PRRX2_FL_HT-SELEX	HT-SELEX	Yin2017	M09090_1.94d	
ENSG00000180318	ALX1	"Inferred - PRRX2 (70% AA Identity, Homo sapiens)"	PRRX2_FL_Methyl-HT-SELEX_1	Methyl-HT-SELEX	Yin2017	M09935_1.94d	
ENSG00000180318	ALX1	"Inferred - PRRX2 (70% AA Identity, Homo sapiens)"	PRRX2_FL_Methyl-HT-SELEX_2	Methyl-HT-SELEX	Yin2017	M09936_1.94d	
ENSG00000180318	ALX1	"Inferred - PRRX2 (70% AA Identity, Homo sapiens)"	PRRX2_eDBD_HT-SELEX_1	HT-SELEX	Yin2017	M09931_1.94d	
ENSG00000180318	ALX1	"Inferred - PRRX2 (70% AA Identity, Homo sapiens)"	PRRX2_eDBD_HT-SELEX_2	HT-SELEX	Yin2017	M09932_1.94d	
ENSG00000180318	ALX1	"Inferred - PRRX2 (70% AA Identity, Homo sapiens)"	PRRX2_eDBD_Methyl-HT-SELEX_1	Methyl-HT-SELEX	Yin2017	M09933_1.94d	
ENSG00000180318	ALX1	"Inferred - PRRX2 (70% AA Identity, Homo sapiens)"	PRRX2_eDBD_Methyl-HT-SELEX_2	Methyl-HT-SELEX	Yin2017	M09934_1.94d	
ENSG00000180318	ALX1	"Inferred - PRRX2 (70% AA Identity, Homo sapiens)"	PRRX2_f1	Misc	HocoMoco	M06741_1.94d	
ENSG00000180318	ALX1	"Inferred - PRRX2 (70% AA Identity, Homo sapiens)"	V$PRRX2_05	Transfac	Transfac	M04613_1.94d	
ENSG00000180318	ALX1	"Inferred - Prrx2 (70% AA Identity, Mus musculus)"	MA0075.2	SELEX	JASPAR	M02643_1.94d	
ENSG00000180318	ALX1	"Inferred - Prrx2 (70% AA Identity, Mus musculus)"	Prrx2_3072	PBM	Berger08	M01415_1.94d	
ENSG00000180318	ALX1	"Inferred - Prrx2 (70% AA Identity, Mus musculus)"	V$S8_01	Transfac	Transfac	M04670_1.94d	
ENSG00000180318	ALX1	"Inferred - PRRX2 (70% AA Identity, Sus scrofa)"	V$PRX2_Q2	Transfac	Transfac	M04615_1.94d	
ENSG00000180318	ALX1	"Inferred - RAX (70% AA Identity, Homo sapiens)"	RAX_eDBD_HT-SELEX	HT-SELEX	Yin2017	M09095_1.94d	
ENSG00000180318	ALX1	"Inferred - RAX (70% AA Identity, Homo sapiens)"	RAX_eDBD_Methyl-HT-SELEX_1	Methyl-HT-SELEX	Yin2017	M09941_1.94d	
ENSG00000180318	ALX1	"Inferred - RAX (70% AA Identity, Homo sapiens)"	RAX_eDBD_Methyl-HT-SELEX_2	Methyl-HT-SELEX	Yin2017	M09942_1.94d	
ENSG00000180318	ALX1	"Inferred - Rax (70% AA Identity, Mus musculus)"	Rax_3443	PBM	Berger08	M01354_1.94d	
ENSG00000180318	ALX1	"Inferred - Rax (70% AA Identity, Rattus norvegicus)"	V$RAX_04	Transfac	Transfac	M04626_1.94d	
ENSG00000180318	ALX1	"Inferred - Rx (70% AA Identity, Drosophila melanogaster)"	MA0202.1	B1H	JASPAR	M02754_1.94d	
ENSG00000180318	ALX1	"Inferred - Rx (70% AA Identity, Drosophila melanogaster)"	Rx_1	HT-SELEX	Nitta2015	M07491_1.94d	
ENSG00000180318	ALX1	"Inferred - Rx (70% AA Identity, Drosophila melanogaster)"	Rx_2	HT-SELEX	Nitta2015	M07492_1.94d	
ENSG00000180318	ALX1	"Inferred - SHOX (66% AA Identity, Homo sapiens)"	SHOX_eDBD_HT-SELEX	HT-SELEX	Yin2017	M09118_1.94d	
ENSG00000180318	ALX1	"Inferred - SHOX (66% AA Identity, Homo sapiens)"	SHOX_eDBD_Methyl-HT-SELEX_1	Methyl-HT-SELEX	Yin2017	M09967_1.94d	
ENSG00000180318	ALX1	"Inferred - SHOX (66% AA Identity, Homo sapiens)"	SHOX_eDBD_Methyl-HT-SELEX_2	Methyl-HT-SELEX	Yin2017	M09968_1.94d	
ENSG00000180318	ALX1	"Inferred - SHOX (66% AA Identity, Homo sapiens)"	pTH5805	PBM	Zoo_01	M01294_1.94d	
ENSG00000180318	ALX1	"Inferred - Shox2 (66% AA Identity, Mus musculus)"	Shox2_2641	PBM	Berger08	M01367_1.94d	
ENSG00000180318	ALX1	"Inferred - Shox2 (66% AA Identity, Rattus norvegicus)"	V$SHOX2_05	Transfac	Transfac	M04684_1.94d	
ENSG00000180318	ALX1	"Inferred - si:dkey-43p13.5 (70% AA Identity, Danio rerio)"	pTH6636	PBM	Zoo_01	M01212_1.94d	
ENSG00000180318	ALX1	"Inferred - UNCX (73% AA Identity, Homo sapiens)"	UNCX_eDBD_HT-SELEX	HT-SELEX	Yin2017	M09263_1.94d	
ENSG00000180318	ALX1	"Inferred - UNCX (73% AA Identity, Homo sapiens)"	UNCX_eDBD_Methyl-HT-SELEX	Methyl-HT-SELEX	Yin2017	M09264_1.94d	
ENSG00000180318	ALX1	"Inferred - Uncx (73% AA Identity, Mus musculus)"	Uncx4	PBM	Berger08	M01371_1.94d	
ENSG00000180318	ALX1	"Inferred - uncx4.1 (73% AA Identity, Tetraodon nigroviridis)"	pTH5474	PBM	Zoo_01	M01478_1.94d	
ENSG00000180318	ALX1	"Inferred - Vsx1 (66% AA Identity, Drosophila melanogaster)"	MA0181.1	B1H	JASPAR	M02733_1.94d	
ENSG00000180318	ALX1	"Inferred - Vsx1 (66% AA Identity, Drosophila melanogaster)"	Vsx1_1	HT-SELEX	Nitta2015	M07553_1.94d	
ENSG00000180318	ALX1	"Inferred - Vsx1 (66% AA Identity, Drosophila melanogaster)"	pTH5821	PBM	Zoo_01	M01508_1.94d	
ENSG00000180318	ALX1	"Inferred - VSX1 (73% AA Identity, Homo sapiens)"	VSX1_Q175H	PBM	Barrera2016	M01220_1.94d	
ENSG00000180318	ALX1	"Inferred - VSX1 (75% AA Identity, Homo sapiens)"	VSX1_G160D	PBM	Barrera2016	M01219_1.94d	
ENSG00000180318	ALX1	"Inferred - VSX1 (75% AA Identity, Homo sapiens)"	VSX1_REF	PBM	Barrera2016	M01222_1.94d	
ENSG00000180318	ALX1	"Inferred - Vsx1 (75% AA Identity, Mus musculus)"	Vsx1_1728	PBM	Berger08	M01388_1.94d	
ENSG00000180318	ALX1	"Inferred - Vsx2 (70% AA Identity, Drosophila melanogaster)"	MA0180.1	B1H	JASPAR	M02732_1.94d	
ENSG00000180318	ALX1	"Inferred - Vsx2 (70% AA Identity, Drosophila melanogaster)"	Vsx2_1	HT-SELEX	Nitta2015	M07554_1.94d	
ENSG00000180318	ALX1	"Inferred - Vsx2 (70% AA Identity, Drosophila melanogaster)"	Vsx2_2	HT-SELEX	Nitta2015	M07555_1.94d	
ENSG00000180318	ALX1	"Inferred - Vsx2 (70% AA Identity, Drosophila melanogaster)"	pTH6195	PBM	Zoo_01	M01509_1.94d	
ENSG00000180318	ALX1	"Inferred - vsx2 (75% AA Identity, Danio rerio)"	pTH6221	PBM	Zoo_01	M01209_1.94d	
ENSG00000180318	ALX1	"Inferred - VSX2 (77% AA Identity, Homo sapiens)"	V$CHX10_01	Transfac	Transfac	M03821_1.94d	
ENSG00000180318	ALX1	"Inferred - VSX2 (77% AA Identity, Homo sapiens)"	VSX2_FL_HT-SELEX	HT-SELEX	Yin2017	M09277_1.94d	
ENSG00000180318	ALX1	"Inferred - VSX2 (77% AA Identity, Homo sapiens)"	VSX2_FL_Methyl-HT-SELEX_1	Methyl-HT-SELEX	Yin2017	M10029_1.94d	
ENSG00000180318	ALX1	"Inferred - VSX2 (77% AA Identity, Homo sapiens)"	VSX2_FL_Methyl-HT-SELEX_2	Methyl-HT-SELEX	Yin2017	M10030_1.94d	
ENSG00000180318	ALX1	"Inferred - VSX2 (77% AA Identity, Homo sapiens)"	VSX2_REF	PBM	Barrera2016	M01245_1.94d	
ENSG00000180318	ALX1	"Inferred - VSX2 (77% AA Identity, Homo sapiens)"	VSX2_eDBD_HT-SELEX	HT-SELEX	Yin2017	M09276_1.94d	
ENSG00000180318	ALX1	"Inferred - VSX2 (77% AA Identity, Homo sapiens)"	VSX2_eDBD_Methyl-HT-SELEX_1	Methyl-HT-SELEX	Yin2017	M10027_1.94d	
ENSG00000180318	ALX1	"Inferred - VSX2 (77% AA Identity, Homo sapiens)"	VSX2_eDBD_Methyl-HT-SELEX_2	Methyl-HT-SELEX	Yin2017	M10028_1.94d	
ENSG00000180318	ALX1	"Inferred - VSX2 (77% AA Identity, Homo sapiens)"	VSX2_si	Misc	HocoMoco	M06835_1.94d	
